variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-1028.0519775,-1027.65,3.27223286785631,3.11346000000003,-1034.0205,-1023.32,1.00119392977189,1549.3689083747,2677.84717355049
r_init,-0.111125954086575,-0.1236085,0.148687604470171,0.14116664856,-0.33250875,0.15088935,0.999887412390246,2523.62857012951,2719.64507510598
r_noise,0.077263289286275,0.06527705,0.0593255448384957,0.05774897499,0.0052507795,0.1944452,0.999936747780743,2820.11643195309,1715.07089688448
delta_mod,0.34515440604825,0.3480415,0.224327221285559,0.2256650634,-0.021124485,0.71255815,0.999400455609395,5216.16612845038,3085.83117832401
delta_noise,0.0808660509392,0.0703429,0.058926092472631,0.05834787126,0.007796084,0.1938062,1.00109362575361,3084.34022603003,1422.29685611365
eta[1],-0.161950762968,-0.1603965,0.969494963155586,0.952822542,-1.7390415,1.4529645,1.00014657112547,3825.39869480204,3139.53429449418
eta[2],-0.127047049345,-0.1216235,0.978854883041074,0.9645476841,-1.74989,1.4759205,1.00162878268009,4317.78168160907,2618.75610812722
eta[3],-0.051783501699,-0.06619755,0.989536768266208,0.96309688587,-1.6779455,1.603941,1.0001876092661,5029.89051580864,2810.38876290238
eta[4],-0.01476559953975,-0.00732987,1.01033127211671,1.0257916662,-1.6943965,1.6425455,1.00007666525585,5284.46917949339,2949.86017358947
eta[5],-0.011958716175,-0.002663455,0.999233609347435,0.998799517317,-1.662833,1.6228745,1.0015076172844,4215.94000644516,3039.38438627005
eta[6],0.0188322012435,0.02920995,1.013622931684,1.0116854685,-1.6492435,1.6601595,1.00065508990801,5060.75853220717,2721.0728972293
eta[7],0.00798537307125,0.00345353,0.98277085647387,0.995012934678,-1.6124695,1.636973,0.999848022909051,4745.42506958267,3005.42291867112
delta_eta[1],0.000250130404805002,0.01051465,0.99082561638861,0.98323311429,-1.6317005,1.623774,1.00029745690621,4834.25999604622,3032.89451178949
delta_eta[2],-0.0189650884835,-0.005338095,0.997770242325843,0.9990789207,-1.625042,1.6148975,1.00144437964817,4457.29471260825,2803.95701220631
delta_eta[3],0.003159726713,-0.0179696,0.999493558888241,1.02208798314,-1.595291,1.660753,1.00097260087969,5519.94669152889,2734.87826773819
delta_eta[4],0.00067036473,-0.0045263,1.00719099585165,1.00291336908,-1.664738,1.685239,1.00122291768239,6016.48516121074,3015.36113595117
delta_eta[5],0.01423572077245,0.0137532,0.98950570367761,1.01098375392,-1.612545,1.595899,1.00147749758483,4866.14372934366,2525.80246446086
delta_eta[6],0.0391801077075,0.03051055,0.981292710200225,1.0079196645,-1.5581955,1.6796655,1.00017206051164,4569.57229056572,2791.88992887973
delta_eta[7],-0.0316352803915,-0.03201485,0.992523432151414,0.99605093259,-1.6589405,1.6103985,1.00000502750651,4694.9013134501,2984.40756626416
init_cases[1],7.137887485,7.139265,0.326551079352345,0.331109058,6.6104105,7.6814605,1.00352971882063,4723.4155627661,3063.59020826271
init_cases[2],11.709302375,11.744,0.300989453286335,0.28213878,11.17907,12.158635,1.00084918807518,2175.30221896247,2856.74379510266
sqrt_phi[1],0.242362859641305,0.0815092,0.358586880351215,0.117366930366,0.00060189915,1.009584,1.00079030995825,1922.49697631529,1863.62017853368
sqrt_phi[2],0.0572169240597456,0.003169995,0.181928076668666,0.00463020049737,1.85966e-05,0.33435745,0.999507249157761,3600.63775486249,2945.45876551599
r[1],-0.111125954086575,-0.1236085,0.148687604470171,0.14116664856,-0.33250875,0.15088935,0.999887412390246,2523.62857012951,2719.64507510598
r[2],-0.128284016968075,-0.143709,0.151196561794493,0.13984439175,-0.3460222,0.1407049,0.999452847192344,2524.53217557634,2832.74199698936
r[3],-0.1419716073779,-0.159686,0.163572764428631,0.15100214283,-0.37923815,0.15354875,0.999795902458301,2254.27449005178,2966.54257421988
r[4],-0.14770448654875,-0.1649995,0.181474481275478,0.1635463473,-0.41816975,0.1692758,1.0000459425858,2333.70784361189,3333.59137639357
r[5],-0.149202195406,-0.1570475,0.207914452455561,0.18067934703,-0.47801515,0.1991647,1.00033134306534,2539.10685551657,3296.11313515836
r[6],-0.149698327599,-0.1536415,0.227850355273768,0.18985930971,-0.5199095,0.22399325,1.00028365744305,2728.70112006866,3101.36565303951
r[7],-0.146223474944675,-0.15061,0.247674836472831,0.2001888063,-0.54690165,0.2562598,0.999728423833924,2790.46332345917,3125.69378105791
r[8],-0.145669626525175,-0.1473885,0.265705547400867,0.215243964369,-0.56109265,0.281917599999999,0.999841859480873,2811.22086475822,3248.06295818686
delta_r[1],0.234028452272503,0.238777,0.256356098487415,0.249454863,-0.1867822,0.64861745,0.999703004015425,4118.01923085925,3266.80967248503
delta_r[2],0.21718179204885,0.216832,0.269882129429073,0.2657419653,-0.21850385,0.64863165,0.999450035841259,3992.77102887725,3039.3516372645
delta_r[3],0.19985987421445,0.1986355,0.29192212465175,0.284534231646,-0.27310715,0.68208215,0.999455910013392,3806.42911032746,3283.96754529509
delta_r[4],0.19275382169175,0.1933895,0.321532561842275,0.3060731331,-0.3358799,0.7299215,0.999671194905379,3817.83966709199,3097.51106791685
delta_r[5],0.188853740699525,0.1883485,0.352561519248721,0.32741560488,-0.39167295,0.75077735,1.00005981447099,3570.04161481036,3135.24218717057
delta_r[6],0.1902841432765,0.190239,0.384220220010929,0.35641296285,-0.46791255,0.80048525,1.00000773486706,3544.09816641841,2968.16078365206
delta_r[7],0.1969571550738,0.197874,0.405915181481321,0.3642132921,-0.4898754,0.8518297,0.999596671808536,3782.38370819007,3166.81496734324
delta_r[8],0.19606529709875,0.1980945,0.428909987679903,0.3820148703,-0.50395925,0.889028649999999,1.00007063882301,3731.77031892023,3301.74989361613
mean_ndelta_cases[1],127098.389225,125994,36825.1408423003,35904.1242,71616.4,190727.25,1.00090406973812,2175.40327678407,2856.74379510266
mean_ndelta_cases[2],112124.514375,112178.5,27102.2186281751,24675.6531,70572.155,156425.65,1.00074961640704,3026.53377990754,2987.88436769279
mean_ndelta_cases[3],99036.285825,95580.4,27341.8067421211,20154.61266,63289.095,147646.4,1.00020782977804,4486.4901636545,2911.72636298096
mean_ndelta_cases[4],88283.98495,79849.6,36042.5219708831,20324.9634,51296.485,153620.8,1.00068783437968,4279.4554712808,2503.09420890118
mean_ndelta_cases[5],80944.578375,66895.4,51805.2527797262,23982.01869,37723.405,168647.6,1.00116516219015,3451.67637575846,2770.64794095964
mean_ndelta_cases[6],77983.871345,56724.6,80383.7015789781,28466.58717,25517.17,193885.5,1.00050357520139,3050.904448636,3014.26457577168
mean_ndelta_cases[7],80582.1729275,48689.15,147282.900081059,31822.82292,15776.335,229310.45,1.00019886453262,2872.37938070395,3062.8900273334
mean_ndelta_cases[8],93435.2601575,41909.9,415073.650525947,33275.99331,9871.1805,281660.95,0.999743513584552,2795.05086951797,3218.66481611855
mean_ndelta_cases[9],138987.96607225,36141.8,1977186.67628526,33537.74634,5825.711,355971.85,0.999812522276982,2763.56386253259,3364.58351277994
mean_delta_cases[1],1327.51090675,1260.505,443.605666740761,411.295479,742.78715,2167.7915,1.00364871869062,4723.40570872531,3063.59020826271
mean_delta_cases[2],1719.85740675,1579.98,706.424141511822,598.036362,828.22885,3068.334,1.00116259160111,4395.17362459322,2903.52530888343
mean_delta_cases[3],2335.1325605,1967.065,1526.66195563516,1047.671877,764.13815,5065.2915,0.999832075624101,4256.55706391738,2641.11785267417
mean_delta_cases[4],3381.9996875,2386.49,3743.58613279118,1729.497378,636.3594,8806.616,0.999726158779318,4168.84201628462,3033.48451527631
