variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-4798.9029275,-4798.545,5.59609061419526,5.41890299999962,-4808.8005,-4790.2495,1.00118676739965,1233.87184257346,2239.37829812407
r_init,-0.130514163474921,-0.131441,0.0948838144757074,0.0909241515,-0.2860554,0.0234659299999999,1.00218067181836,2050.04231638184,2125.40775749697
r_noise,0.05904121473805,0.0479655,0.0465512329109415,0.04457192271,0.004468112,0.1485948,1.00207691120963,1447.53697269009,2039.74843564842
delta_mod,0.274624322546875,0.271692,0.112772990065383,0.1058494857,0.09570945,0.4685751,1.00154411727257,2283.83497030143,2625.38848846992
delta_noise,0.0653811417012627,0.05184805,0.0524687591180047,0.04854573549,0.0049340685,0.16860085,0.999943736084612,1744.78849599702,2008.73284550137
ndelta_noise,0.133833198396,0.131551,0.0467786652694748,0.0422600304,0.059276975,0.21360835,0.999999012322983,1865.37554993431,940.597079647197
eta[1],-0.2148956163705,-0.2319085,0.959002498529369,0.9572488443,-1.7694775,1.350884,1.0020520588016,4580.35706826756,3118.46206319349
eta[2],-0.2507036561665,-0.2815945,0.95606274235264,0.9719339973,-1.8259515,1.3021405,1.00122617286191,5269.06070307469,2316.21525178363
eta[3],-0.154956215933875,-0.152433,0.946230880312189,0.9463695255,-1.685057,1.390068,1.00117002744448,5426.33779723736,3299.62643292364
eta[4],-0.1133900135105,-0.1164955,0.924069722002493,0.914771613,-1.6239715,1.4158565,1.00081868529113,4176.77118219196,2988.51781763612
eta[5],0.0878443391125,0.0963804,0.962656824972071,0.95935799106,-1.5229005,1.638703,1.00095217317747,4775.73641095058,2480.51341270535
eta[6],-0.086874486688,-0.0682829,0.954909668751645,0.95179717584,-1.6999155,1.4583285,1.00039966413547,4142.03894571567,3137.55293178455
eta[7],-0.37047136187125,-0.3617095,0.982069385663745,0.9855642804,-1.987358,1.2440695,1.00013313862611,3754.9865151654,3183.50264634826
eta[8],-0.150137452702,-0.1597245,0.957996683558915,0.9537476844,-1.7197325,1.429717,1.00032766220133,5621.60885491016,2959.84451894459
eta[9],-0.01908664359805,-0.0124642,0.959660148585942,0.9634624209,-1.579539,1.5384395,1.00202617391875,6103.21953134621,3229.92505670136
eta[10],0.001329520187825,0.0021674,0.991769513799659,1.00764330786,-1.600614,1.643876,1.00036587575891,6026.77052103239,2944.70503870559
eta[11],0.002734458495,0.003663925,0.976011017033634,1.011145913295,-1.589834,1.6281305,1.00067037645276,7141.02537241943,3417.51891777872
eta[12],0.00922881470605,0.0182555,0.999264977134303,1.0055326785,-1.620111,1.5934845,1.00053316817226,6389.81732093404,2953.80603333044
eta[13],0.02721635718425,0.0300701,0.978008659870134,0.94122697914,-1.6107635,1.6183,1.00167228312631,5334.77592324409,2485.40200580671
delta_eta[1],-0.0372127875685,-0.01718145,0.985440139540377,0.9613000488,-1.638616,1.583319,1.00208548784271,4792.41652838394,3256.88501471708
delta_eta[2],-0.0666158673264,-0.0668074,0.975202443066973,0.96272690304,-1.6638555,1.5622825,1.00040945893666,4606.20794217395,2785.88835029493
delta_eta[3],-0.028947807518,-0.05358405,0.978609109900718,0.97047875127,-1.6030175,1.600054,1.00117895294199,5599.92508874207,2711.27571161591
delta_eta[4],0.173636784623,0.1519425,0.979913916692633,0.9703179633,-1.4382665,1.780181,1.00236220399774,4773.8990142735,2816.82120324863
delta_eta[5],0.3810164818785,0.378504,1.0048851356569,0.9985718715,-1.2479825,2.016151,1.00278200204626,3928.74784885329,2762.09433939168
delta_eta[6],0.32122680280225,0.321401,0.948647027247439,0.9581191305,-1.2656685,1.863795,1.00060025270946,3958.75444696778,3029.62867351526
delta_eta[7],0.074622794172575,0.08111235,0.932263509283543,0.9131059119,-1.4982035,1.593642,1.0012131890166,4996.39749980049,2720.14148571343
delta_eta[8],-0.07185045483075,-0.0676964,0.91073414616314,0.91750715826,-1.5269835,1.434085,1.00061425407154,5850.73154776288,3190.67330807899
delta_eta[9],-0.0477383699675,-0.04791305,0.975021524745855,0.97211480037,-1.6539355,1.576042,1.00115493708956,5399.56778348307,2496.13303000991
delta_eta[10],0.00262580757475,-0.00447229,0.972895679199452,0.9810000963,-1.6117525,1.6544205,0.999987739389854,6389.01025839944,3081.16968238316
delta_eta[11],-0.006972150574675,0.0131819,0.992878949871416,0.9962753241,-1.620783,1.597165,0.999905886450117,6264.61684386677,2790.36305651242
delta_eta[12],-0.006313252597,-0.00413183,1.00952732054579,1.018902024,-1.6724825,1.6449075,1.00264863521322,5950.7416177353,3037.59067958203
delta_eta[13],0.00707013593425,-0.003875135,1.0086311802524,0.9835042077,-1.6038825,1.6457475,1.00090138727545,6650.95437089202,2752.67539764608
ndelta_eta[1],-0.495280053451,-0.48888,0.828318000845617,0.81887430219,-1.8252195,0.845104999999999,1.00100976381019,3447.12347225198,2838.99769043826
ndelta_eta[2],-0.4287320376195,-0.4464795,0.833337026634066,0.8164403919,-1.7500685,0.994729999999999,1.00017693905983,3848.23282215087,2467.93480312962
ndelta_eta[3],-0.33322728539775,-0.311673,0.828915785197437,0.8226910335,-1.716051,1.012018,1.00037507952637,4648.04109212215,3338.38128018565
ndelta_eta[4],-0.647947860992,-0.6568365,0.821718244106757,0.7988923383,-2.0112485,0.7338243,1.00107403261953,4414.12775507164,2837.01829146615
ndelta_eta[5],-0.61028982648875,-0.5990175,0.84711641151773,0.8436624105,-2.033291,0.74431405,1.00108168239293,3684.95416052603,2916.21518716893
ndelta_eta[6],-0.899102043303,-0.895166,0.808486247086984,0.7924778694,-2.2135305,0.393791199999999,1.00154791268241,4239.39399751047,2760.2903038334
ndelta_eta[7],-1.09412673604382,-1.10559,0.874813191336197,0.87332553,-2.4864675,0.39239515,1.000607741601,3254.90033407399,2423.1439811397
