"q.0.025","q.0.25","q.0.5","q.0.75","q.0.975","wk","date","variable_name"
649.708111524341,848.954287401208,919.963683579353,965.337548708124,996.840622746225,16,2021-04-24,"X_delta[1]"
1271,1476,1598,1734,2023,17,2021-05-01,"X_delta[2]"
1539.975,1748,1864,1988,2247,18,2021-05-08,"X_delta[3]"
1428,1601,1700,1803,2009,19,2021-05-15,"X_delta[4]"
1401,1565,1658,1756,1954,20,2021-05-22,"X_delta[5]"
1023,1160,1236,1313,1463,21,2021-05-29,"X_delta[6]"
1536,1679,1758,1837,1995,22,2021-06-05,"X_delta[7]"
2295,2478,2578,2679,2878,23,2021-06-12,"X_delta[8]"
2381,2555,2648,2740,2921,24,2021-06-19,"X_delta[9]"
1497,2178,2502,2814,3372,25,2021-06-26,"X_delta[10]"
961,1930,2590,3413,5806,26,2021-07-03,"X_delta[11]"
609.975,1697,2685,4179.25,10140,27,2021-07-10,"X_delta[12]"
370,1477,2789,5163,18583,28,2021-07-17,"X_delta[13]"
209,1268,2901,6459,35342,29,2021-07-24,"X_delta[14]"
136013.850914823,136240.923526758,136488.797677254,136738.085541287,136963.05509539,16,2021-04-24,"X_other[1]"
130584,130873,131009,131131,131336,17,2021-05-01,"X_other[2]"
104740,104999,105123,105239,105447.025,18,2021-05-08,"X_other[3]"
62976,63182,63285,63384,63557,19,2021-05-15,"X_other[4]"
55193,55391,55489,55582,55746,20,2021-05-22,"X_other[5]"
30190,30340,30417,30493,30630,21,2021-05-29,"X_other[6]"
20267,20425,20504,20583,20726,22,2021-06-05,"X_other[7]"
12483,12682,12783,12883,13066,23,2021-06-12,"X_other[8]"
4381,4562,4654,4747,4921,24,2021-06-19,"X_other[9]"
1184,1742,2054,2378,3059,25,2021-06-26,"X_other[10]"
333,701,972,1314,2300,26,2021-07-03,"X_other[11]"
85,279,464,740,1793,27,2021-07-10,"X_other[12]"
20,109,222,423,1463,28,2021-07-17,"X_other[13]"
4,42,107,246,1235,29,2021-07-24,"X_other[14]"
136988,136988,136988,136988,136988,16,2021-04-24,"X_proj[1]"
132607,132607,132607,132607,132607,17,2021-05-01,"X_proj[2]"
106987,106987,106987,106987,106987,18,2021-05-08,"X_proj[3]"
64985,64985,64985,64985,64985,19,2021-05-15,"X_proj[4]"
57147,57147,57147,57147,57147,20,2021-05-22,"X_proj[5]"
31653,31653,31653,31653,31653,21,2021-05-29,"X_proj[6]"
22262,22262,22262,22262,22262,22,2021-06-05,"X_proj[7]"
15361,15361,15361,15361,15361,23,2021-06-12,"X_proj[8]"
7302,7302,7302,7302,7302,24,2021-06-19,"X_proj[9]"
4556,4556,4556,4556,4556,25,2021-06-26,"X_proj[10]"
2128,3075,3676,4416,6620,26,2021-07-03,"X_proj[11]"
1191,2339,3301,4734,10550.025,27,2021-07-10,"X_proj[12]"
667,1866,3172,5503,18826.025,28,2021-07-17,"X_proj[13]"
371,1531,3161,6701,35547.025,29,2021-07-24,"X_proj[14]"
