"q.0.025","q.0.25","q.0.5","q.0.75","q.0.975","wk","date","variable_name"
705.619196265483,869.920865041348,930.12245168032,969.73013778646,997.193541191165,16,2021-04-24,"X_delta[1]"
1265,1460,1574,1704,1992,17,2021-05-01,"X_delta[2]"
1574,1773,1889,2011,2262,18,2021-05-08,"X_delta[3]"
1637,1835,1946,2064,2310,19,2021-05-15,"X_delta[4]"
1432,1595,1687,1783,1974,20,2021-05-22,"X_delta[5]"
1076,1224,1303,1380,1533,21,2021-05-29,"X_delta[6]"
1568,1712,1790,1870,2029,22,2021-06-05,"X_delta[7]"
2330,2508,2606,2707,2914,23,2021-06-12,"X_delta[8]"
2491,2668,2763,2860,3051,24,2021-06-19,"X_delta[9]"
1843,2508,2798,3072,3562,25,2021-06-26,"X_delta[10]"
1903,2795,3110,3366,3731,26,2021-07-03,"X_delta[11]"
1362,2590,3299,4110,6358,27,2021-07-10,"X_delta[12]"
949,2403,3518,5082,10713,28,2021-07-17,"X_delta[13]"
623,2196,3766,6355,18878,29,2021-07-24,"X_delta[14]"
389,1983,4033,8075,34953.025,30,2021-07-31,"X_delta[15]"
144593.557706584,144819.308526553,145069.859850762,145319.431500756,145542.638318095,16,2021-04-24,"X_other[1]"
129895,130183,130313,130427,130622,17,2021-05-01,"X_other[2]"
104879,105130,105252,105368,105567,18,2021-05-08,"X_other[3]"
74951,75197,75315,75426,75624,19,2021-05-15,"X_other[4]"
55336,55527,55623,55715,55878,20,2021-05-22,"X_other[5]"
31519,31672,31749,31828,31976,21,2021-05-29,"X_other[6]"
20602,20761,20841,20919,21063,22,2021-06-05,"X_other[7]"
12639,12846,12947,13045,13223,23,2021-06-12,"X_other[8]"
4608,4799,4896,4991,5168,24,2021-06-19,"X_other[9]"
1471,1961,2235,2525,3190,25,2021-06-26,"X_other[10]"
450,815,1071,1386,2278,26,2021-07-03,"X_other[11]"
128,332,510,763,1634,27,2021-07-10,"X_other[12]"
34,134,244,426,1237,28,2021-07-17,"X_other[13]"
8,53,116,241,973,29,2021-07-24,"X_other[14]"
1,21,55,138,807,30,2021-07-31,"X_other[15]"
145568,145568,145568,145568,145568,16,2021-04-24,"X_proj[1]"
131887,131887,131887,131887,131887,17,2021-05-01,"X_proj[2]"
107141,107141,107141,107141,107141,18,2021-05-08,"X_proj[3]"
77261,77261,77261,77261,77261,19,2021-05-15,"X_proj[4]"
57310,57310,57310,57310,57310,20,2021-05-22,"X_proj[5]"
33052,33052,33052,33052,33052,21,2021-05-29,"X_proj[6]"
22631,22631,22631,22631,22631,22,2021-06-05,"X_proj[7]"
15553,15553,15553,15553,15553,23,2021-06-12,"X_proj[8]"
7659,7659,7659,7659,7659,24,2021-06-19,"X_proj[9]"
5033,5033,5033,5033,5033,25,2021-06-26,"X_proj[10]"
4181,4181,4181,4181,4181,26,2021-07-03,"X_proj[11]"
2294,3279,3879,4612,6764,27,2021-07-10,"X_proj[12]"
1473,2800,3849,5358,10914,28,2021-07-17,"X_proj[13]"
940,2448,3969,6525,19021.075,29,2021-07-24,"X_proj[14]"
579,2161,4174,8202,35094.025,30,2021-07-31,"X_proj[15]"
