"q.0.025","q.0.25","q.0.5","q.0.75","q.0.975","wk","date","variable_name"
685.163943587728,865.979321036998,929.788508331305,969.706864396376,997.219147595106,16,2021-04-24,"X_delta[1]"
1268,1464,1577,1704,1989,17,2021-05-01,"X_delta[2]"
1570,1775,1888,2005,2253,18,2021-05-08,"X_delta[3]"
1636,1841,1953,2073,2323,19,2021-05-15,"X_delta[4]"
1431,1594,1685,1780,1978,20,2021-05-22,"X_delta[5]"
1083,1227,1305,1383,1538,21,2021-05-29,"X_delta[6]"
1565,1708,1786,1867,2023,22,2021-06-05,"X_delta[7]"
2326,2511,2610,2711,2912,23,2021-06-12,"X_delta[8]"
2490,2670,2766,2863,3048,24,2021-06-19,"X_delta[9]"
1881.975,2523,2832,3129,3653,25,2021-06-26,"X_delta[10]"
1276.975,2354,3058,3901,6270,26,2021-07-03,"X_delta[11]"
863,2176,3292,4901,11047,27,2021-07-10,"X_delta[12]"
550,1982,3539,6259.25,20377.025,28,2021-07-17,"X_delta[13]"
335,1783,3810,8082,39722,29,2021-07-24,"X_delta[14]"
144593.001259414,144819.173453076,145068.225204401,145318.057328888,145543.32568372,16,2021-04-24,"X_other[1]"
129898,130183,130310,130423,130619,17,2021-05-01,"X_other[2]"
104888,105136,105253,105366,105571,18,2021-05-08,"X_other[3]"
74938,75188,75308,75420,75625,19,2021-05-15,"X_other[4]"
55332,55530,55625,55716,55879,20,2021-05-22,"X_other[5]"
31514,31669,31747,31825,31969,21,2021-05-29,"X_other[6]"
20608,20764,20845,20923,21066,22,2021-06-05,"X_other[7]"
12641,12842,12943,13042,13227,23,2021-06-12,"X_other[8]"
4611,4796,4893,4989,5169,24,2021-06-19,"X_other[9]"
1380,1904,2201,2510,3151.02499999999,25,2021-06-26,"X_other[10]"
396,762,1011,1311,2106,26,2021-07-03,"X_other[11]"
105,300,467,699,1481,27,2021-07-10,"X_other[12]"
26,116,216,379,1098,28,2021-07-17,"X_other[13]"
5,44,100,209,853,29,2021-07-24,"X_other[14]"
145568,145568,145568,145568,145568,16,2021-04-24,"X_proj[1]"
131887,131887,131887,131887,131887,17,2021-05-01,"X_proj[2]"
107141,107141,107141,107141,107141,18,2021-05-08,"X_proj[3]"
77261,77261,77261,77261,77261,19,2021-05-15,"X_proj[4]"
57310,57310,57310,57310,57310,20,2021-05-22,"X_proj[5]"
33052,33052,33052,33052,33052,21,2021-05-29,"X_proj[6]"
22631,22631,22631,22631,22631,22,2021-06-05,"X_proj[7]"
15553,15553,15553,15553,15553,23,2021-06-12,"X_proj[8]"
7659,7659,7659,7659,7659,24,2021-06-19,"X_proj[9]"
5033,5033,5033,5033,5033,25,2021-06-26,"X_proj[10]"
2547,3531,4141,4880,7073.02499999999,26,2021-07-03,"X_proj[11]"
1506,2797,3852,5398,11417.025,27,2021-07-10,"X_proj[12]"
892,2335,3850,6525,20583,28,2021-07-17,"X_proj[13]"
527,2000,4003,8246,39851.125,29,2021-07-24,"X_proj[14]"
