"wk","date","X_total_Lower95","X_total_Median","X_total_Upper95","X_delta_Lower95","X_delta_Median","X_delta_Upper95","X_other_Lower95","X_other_Median","X_other_Upper95"
16,2021-04-24,145568,145568,145568,728.927724585762,926.872242894045,999.998609030531,144571.953689422,145067.161902779,145519.246291226
17,2021-05-01,131887,131887,131887,1240,1574,1953,129933,130313,130646
18,2021-05-08,107141,107141,107141,1552,1895,2250,104876,105246,105574
19,2021-05-15,77261,77261,77261,1634,1956,2310,74951,75305,75627
20,2021-05-22,57310,57310,57310,1415,1685,1958,55337,55625,55880
21,2021-05-29,33052,33052,33052,1069,1299,1525,31527,31753,31983
22,2021-06-05,22631,22631,22631,1566,1793,2022,20600,20838,21056
23,2021-06-12,15553,15553,15553,2320,2607,2897,12646,12946,13223
24,2021-06-19,7659,7659,7659,2483,2770,3046,4611,4889,5174
25,2021-06-26,5033,5033,5033,1885,2824,3705,1324,2209,3144
26,2021-07-03,2244,4168,6741,1008,3049,5874,294,1034,2022
27,2021-07-10,967,3885,9786,273,3288,9226,29,485,1348
28,2021-07-17,160,3895,15513,27,3547,15259,0,228,939
