"wk","date","X_total_Lower95","X_total_Median","X_total_Upper95","X_delta_Lower95","X_delta_Median","X_delta_Upper95","X_other_Lower95","X_other_Median","X_other_Upper95"
16,2021-04-24,136988,136988,136988,731.7215569782,928.173974840619,999.996393562197,136027.425153576,136491.54889199,136974.914689719
17,2021-05-01,132607,132607,132607,1244,1579,1975,130619,131028,131350
18,2021-05-08,106987,106987,106987,1522,1854,2218,104769,105133,105465
19,2021-05-15,64985,64985,64985,1427,1704,1995,62983,63281,63551
20,2021-05-22,57147,57147,57147,1379,1650,1931,55207,55497,55759
21,2021-05-29,31653,31653,31653,1030,1250,1470,30174,30403,30614
22,2021-06-05,22262,22262,22262,1532,1758,1991,20261,20504,20720
23,2021-06-12,15361,15361,15361,2278,2569,2854,12495,12792,13071
24,2021-06-19,7302,7302,7302,2371,2647,2908,4387,4655,4924
25,2021-06-26,4556,4556,4556,1608,2506,3382,1174,2050,2948
26,2021-07-03,1975,3653,5953,766,2592,5085,250,960,2004
27,2021-07-10,736,3273,8153,234,2677,7694,29,454,1393
28,2021-07-17,201,3140,12631,18,2772,12328,0,214,1013
