"q.0.025","q.0.25","q.0.5","q.0.75","q.0.975","wk","date","variable_name"
667.122213554822,852.858016710528,920.61241166169,965.485219196362,996.895234735781,16,2021-04-24,"X_delta[1]"
1206,1395,1503,1621,1888,17,2021-05-01,"X_delta[2]"
1484,1670,1778,1891,2119,18,2021-05-08,"X_delta[3]"
1550,1733,1839,1949,2189,19,2021-05-15,"X_delta[4]"
1379,1538,1626,1717,1904,20,2021-05-22,"X_delta[5]"
1018,1156,1230,1306,1452,21,2021-05-29,"X_delta[6]"
1512,1654,1729,1806,1960,22,2021-06-05,"X_delta[7]"
2269,2450,2548,2648,2845,23,2021-06-12,"X_delta[8]"
2524,2707,2805,2903,3095,24,2021-06-19,"X_delta[9]"
1767,2393,2701,2998,3549,25,2021-06-26,"X_delta[10]"
1196.975,2206,2872,3689,6006,26,2021-07-03,"X_delta[11]"
790,2015,3053,4581,10465,27,2021-07-10,"X_delta[12]"
490,1809,3255,5781,19248.025,28,2021-07-17,"X_delta[13]"
286,1605.75,3475,7376,37710.125,29,2021-07-24,"X_delta[14]"
135749.688412856,135976.374777396,136225.851038742,136476.167200698,136699.647913248,16,2021-04-24,"X_other[1]"
121687,121954,122072,122180,122369,17,2021-05-01,"X_other[2]"
98948,99176,99289,99397,99583,18,2021-05-08,"X_other[3]"
70427,70667,70777,70883,71066,19,2021-05-15,"X_other[4]"
53666,53853,53944,54032,54191,20,2021-05-22,"X_other[5]"
29698,29844,29920,29994,30132,21,2021-05-29,"X_other[6]"
19874,20028,20105,20180,20322,22,2021-06-05,"X_other[7]"
12336,12533,12633,12731,12912,23,2021-06-12,"X_other[8]"
4677,4869,4967,5065,5248,24,2021-06-19,"X_other[9]"
1375,1926,2223,2531,3157,25,2021-06-26,"X_other[10]"
400,781,1038,1348,2182,26,2021-07-03,"X_other[11]"
107,312,487,734,1593,27,2021-07-10,"X_other[12]"
26,122,229,407,1223,28,2021-07-17,"X_other[13]"
6,47,108,229,992,29,2021-07-24,"X_other[14]"
136725,136725,136725,136725,136725,16,2021-04-24,"X_proj[1]"
123575,123575,123575,123575,123575,17,2021-05-01,"X_proj[2]"
101067,101067,101067,101067,101067,18,2021-05-08,"X_proj[3]"
72616,72616,72616,72616,72616,19,2021-05-15,"X_proj[4]"
55570,55570,55570,55570,55570,20,2021-05-22,"X_proj[5]"
31150,31150,31150,31150,31150,21,2021-05-29,"X_proj[6]"
21834,21834,21834,21834,21834,22,2021-06-05,"X_proj[7]"
15181,15181,15181,15181,15181,23,2021-06-12,"X_proj[8]"
7772,7772,7772,7772,7772,24,2021-06-19,"X_proj[9]"
4924,4924,4924,4924,4924,25,2021-06-26,"X_proj[10]"
2464,3404,3989,4712,6861,26,2021-07-03,"X_proj[11]"
1425,2655,3647,5119,10893,27,2021-07-10,"X_proj[12]"
830,2183,3596,6086,19483.075,28,2021-07-17,"X_proj[13]"
474,1843,3698,7582,37846,29,2021-07-24,"X_proj[14]"
