wk,date,location,location_name,value,inc7,seq_total,seq_B.1.1617.2,share_B.1.1617.2
16,2021-04-24,GM,Germany,23392,145568,4857,34,0.007
17,2021-05-01,GM,Germany,18935,131887,3929,55,0.014
18,2021-05-08,GM,Germany,15685,107141,4944,89,0.018
19,2021-05-15,GM,Germany,7894,77261,3885,101,0.026
20,2021-05-22,GM,Germany,7082,57310,3967,119,0.03
21,2021-05-29,GM,Germany,5426,33052,2833,102,0.036
22,2021-06-05,GM,Germany,2294,22631,2241,177,0.079
23,2021-06-12,GM,Germany,1911,15553,1400,238,0.17
24,2021-06-19,GM,Germany,1108,7659,616,226,0.367
25,2021-06-26,GM,Germany,592,5033,,,
26,2021-07-03,GM,Germany,671,4181,,,
