seq_available,week,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,B.1.617.1_count,B.1.617.1_proportion,B.1.617.2_count,B.1.617.2_proportion,P.1_count,P.1_proportion,total_count
2021-06-16,20,3241,90.1,26,0.7,,,114,3.2,11,0.3,3597
2021-06-16,21,2148,89.9,15,0.6,,,89,3.7,6,0.3,2389
2021-06-16,22,1052,86.4,2,0.2,,,75,6.2,7,0.6,1218
2021-06-23,1,5,2.2,0,0.0,,,0,0.0,0,0.0,227
2021-06-23,2,52,8.5,7,1.1,,,0,0.0,0,0.0,612
2021-06-23,3,96,5.4,12,0.7,,,0,0.0,0,0.0,1778
2021-06-23,4,285,10.6,13,0.5,,,0,0.0,0,0.0,2689
2021-06-23,5,557,17.9,24,0.8,,,0,0.0,0,0.0,3112
2021-06-23,6,712,21.0,19,0.6,,,0,0.0,6,0.1,3390
2021-06-23,7,1201,32.6,19,0.5,,,0,0.0,6,0.1,3684
2021-06-23,8,1887,44.0,35,0.8,,,0,0.0,2,0.0,4289
2021-06-23,9,1926,51.7,68,1.8,,,0,0.0,9,0.2,3725
2021-06-23,10,2495,64.5,72,1.9,,,0,0.0,4,0.1,3868
2021-06-23,11,3051,74.1,50,1.2,,,0,0.0,7,0.2,4117
2021-06-23,12,2923,79.9,54,1.4,,,1,0.0,0,0.0,3658
2021-06-23,13,3286,86.9,49,1.3,,,0,0.0,8,0.3,3781
2021-06-23,14,3506,88.0,74,1.9,,,2,0.1,9,0.3,3984
2021-06-23,15,3988,88.8,89,1.9,,,6,0.1,10,0.2,4491
2021-06-23,16,4420,90.7,47,0.9,,,32,0.7,17,0.4,4873
2021-06-23,17,3523,90.1,32,0.8,,,55,1.4,36,0.9,3910
2021-06-23,18,4271,87.0,126,2.5,,,88,1.8,41,0.8,4909
2021-06-23,19,3317,88.4,52,1.4,,,92,2.5,16,0.4,3752
2021-06-23,20,3452,90.4,29,0.7,,,119,3.1,17,0.5,3819
2021-06-23,21,2418,90.1,16,0.6,,,97,3.6,16,0.6,2684
2021-06-23,22,1589,83.5,8,0.4,,,151,7.9,16,0.8,1903
2021-06-23,23,570,74.1,5,0.7,,,116,15.1,5,0.7,769
2021-06-30,1,5,2.1,0,0.0,,,0,0.0,0,0.0,238
2021-06-30,2,54,8.8,8,1.3,,,0,0.0,0,0.0,614
2021-06-30,3,96,5.4,12,0.7,,,0,0.0,0,0.0,1778
2021-06-30,4,283,10.5,13,0.5,,,0,0.0,0,0.0,2695
2021-06-30,5,552,17.7,24,0.8,,,0,0.0,0,0.0,3119
2021-06-30,6,709,20.9,19,0.6,,,0,0.0,6,0.1,3392
2021-06-30,7,1200,32.6,21,0.6,,,0,0.0,6,0.1,3681
2021-06-30,8,1891,44.1,35,0.8,,,0,0.0,2,0.0,4288
2021-06-30,9,1963,52.7,69,1.9,,,0,0.0,10,0.3,3725
2021-06-30,10,2503,64.7,72,1.9,,,0,0.0,4,0.1,3869
2021-06-30,11,3053,74.1,49,1.2,,,0,0.0,8,0.2,4120
2021-06-30,12,2933,80.2,57,1.5,,,1,0.0,0,0.0,3657
2021-06-30,13,3290,87.0,49,1.3,,,0,0.0,8,0.3,3782
2021-06-30,14,3534,88.7,75,1.9,,,2,0.1,10,0.3,3984
2021-06-30,15,3999,89.0,89,1.9,,,6,0.1,11,0.3,4493
2021-06-30,16,4440,91.1,46,0.9,,,34,0.7,17,0.4,4874
2021-06-30,17,3537,90.4,30,0.7,,,55,1.4,41,1.0,3913
2021-06-30,18,4279,87.1,126,2.5,,,89,1.8,44,0.9,4913
2021-06-30,19,3491,89.0,51,1.3,,,101,2.6,16,0.4,3922
2021-06-30,20,3616,91.2,29,0.7,,,119,3.0,29,0.8,3965
2021-06-30,21,2574,90.9,16,0.6,,,102,3.6,24,0.8,2832
2021-06-30,22,1892,84.5,9,0.4,,,177,7.9,21,0.9,2239
2021-06-30,23,1040,74.4,6,0.4,,,238,17.0,16,1.2,1398
2021-06-30,24,338,54.9,4,0.6,,,226,36.7,8,1.3,616
2021-07-07,1,5,2.1,0,0.0,,,0,0.0,0,0.0,238
2021-07-07,2,54,8.8,8,1.3,,,0,0.0,0,0.0,614
2021-07-07,3,96,5.4,12,0.7,,,0,0.0,0,0.0,1778
2021-07-07,4,283,10.5,13,0.5,,,0,0.0,0,0.0,2695
2021-07-07,5,553,17.7,24,0.8,,,1,0.0,0,0.0,3124
2021-07-07,6,709,20.9,19,0.6,,,0,0.0,6,0.2,3392
2021-07-07,7,1200,32.6,21,0.6,,,0,0.0,6,0.2,3681
2021-07-07,8,1891,44.1,35,0.8,,,0,0.0,2,0.0,4288
2021-07-07,9,1963,52.7,69,1.9,,,0,0.0,10,0.3,3725
2021-07-07,10,2503,64.7,72,1.9,,,0,0.0,4,0.1,3869
2021-07-07,11,3054,74.1,49,1.2,,,0,0.0,8,0.2,4121
2021-07-07,12,2934,80.2,57,1.6,,,1,0.0,0,0.0,3658
2021-07-07,13,3290,87.0,49,1.3,,,0,0.0,8,0.2,3782
2021-07-07,14,3536,88.7,75,1.9,,,2,0.1,10,0.3,3986
2021-07-07,15,3999,89.0,89,2.0,,,6,0.1,11,0.2,4493
2021-07-07,16,4440,91.1,46,0.9,,,34,0.7,17,0.3,4874
2021-07-07,17,3538,90.4,30,0.8,,,55,1.4,41,1.0,3914
2021-07-07,18,4285,87.1,126,2.6,,,89,1.8,44,0.9,4920
2021-07-07,19,3520,89.0,51,1.3,,,101,2.6,16,0.4,3955
2021-07-07,20,3647,91.2,30,0.8,,,119,3.0,29,0.7,3999
2021-07-07,21,2627,90.8,19,0.7,,,102,3.5,24,0.8,2893
2021-07-07,22,1966,84.3,11,0.5,,,181,7.8,23,1.0,2332
2021-07-07,23,1164,74.4,6,0.4,,,267,17.1,23,1.5,1565
2021-07-07,24,480,55.0,9,1.0,,,321,36.8,13,1.5,873
2021-07-07,25,161,33.3,0,0.0,,,287,59.4,4,0.8,483
2021-07-14,1,5,2.1,0,0.0,,,0,0.0,0,0.0,238
2021-07-14,2,54,8.8,8,1.3,,,0,0.0,0,0.0,614
2021-07-14,3,96,5.4,12,0.7,,,0,0.0,0,0.0,1778
2021-07-14,4,283,10.5,13,0.5,,,0,0.0,0,0.0,2695
2021-07-14,5,553,17.7,24,0.8,,,1,0.0,0,0.0,3124
2021-07-14,6,709,20.9,19,0.6,,,0,0.0,6,0.2,3392
2021-07-14,7,1200,32.6,21,0.6,,,0,0.0,6,0.2,3681
2021-07-14,8,1891,44.1,35,0.8,,,0,0.0,2,0.0,4288
2021-07-14,9,1963,52.7,69,1.9,,,0,0.0,10,0.3,3725
2021-07-14,10,2503,64.7,72,1.9,,,0,0.0,4,0.1,3869
2021-07-14,11,3054,74.1,49,1.2,,,0,0.0,8,0.2,4121
2021-07-14,12,2934,80.2,57,1.6,,,1,0.0,0,0.0,3658
2021-07-14,13,3290,87.0,49,1.3,,,0,0.0,8,0.2,3782
2021-07-14,14,3536,88.7,75,1.9,,,2,0.1,10,0.3,3986
2021-07-14,15,3999,89.0,89,2.0,,,6,0.1,11,0.2,4493
2021-07-14,16,4440,91.1,46,0.9,,,34,0.7,17,0.3,4874
2021-07-14,17,3538,90.4,30,0.8,,,55,1.4,41,1.0,3914
2021-07-14,18,4285,87.1,126,2.6,,,89,1.8,44,0.9,4920
2021-07-14,19,3520,89.0,51,1.3,,,101,2.6,16,0.4,3955
2021-07-14,20,3647,91.2,30,0.8,,,119,3.0,29,0.7,3999
2021-07-14,21,2627,90.8,19,0.7,,,102,3.5,24,0.8,2893
2021-07-14,22,1967,84.3,11,0.5,,,181,7.8,23,1.0,2333
2021-07-14,23,1177,73.9,6,0.4,,,279,17.5,23,1.4,1593
2021-07-14,24,505,52.4,10,1.0,,,379,39.3,13,1.3,964
2021-07-14,25,226,31.7,3,0.4,,,428,60.1,7,1.0,712
2021-07-14,26,118,21.5,0,0.0,,,407,74.0,9,1.6,550
2021-07-22,1,5,2.1,0,0.0,,,0,0.0,0,0.0,238
2021-07-22,2,54,8.8,8,1.3,,,0,0.0,0,0.0,614
2021-07-22,3,96,5.4,12,0.7,,,0,0.0,0,0.0,1778
2021-07-22,4,283,10.5,13,0.5,,,0,0.0,0,0.0,2695
2021-07-22,5,555,17.8,24,0.8,,,1,0.0,0,0.0,3118
2021-07-22,6,710,21.0,19,0.6,,,0,0.0,6,0.2,3381
2021-07-22,7,1218,33.1,21,0.6,,,0,0.0,6,0.2,3680
2021-07-22,8,1892,44.1,35,0.8,,,0,0.0,2,0.0,4290
2021-07-22,9,1963,52.7,69,1.9,,,0,0.0,8,0.2,3725
2021-07-22,10,2499,64.6,72,1.9,,,0,0.0,4,0.1,3868
2021-07-22,11,3053,74.1,49,1.2,,,0,0.0,8,0.2,4120
2021-07-22,12,2936,80.3,57,1.6,,,1,0.0,0,0.0,3656
2021-07-22,13,3289,87.0,50,1.3,,,0,0.0,8,0.2,3780
2021-07-22,14,3537,88.8,77,1.9,,,2,0.1,10,0.3,3983
2021-07-22,15,4001,89.1,90,2.0,,,6,0.1,11,0.2,4490
2021-07-22,16,4442,91.2,46,0.9,,,34,0.7,17,0.3,4871
2021-07-22,17,3542,90.5,30,0.8,,,54,1.4,41,1.0,3914
2021-07-22,18,4287,87.2,127,2.6,,,89,1.8,44,0.9,4916
2021-07-22,19,3520,89.0,51,1.3,,,101,2.6,16,0.4,3955
2021-07-22,20,3640,91.0,29,0.7,,,119,3.0,29,0.7,4000
2021-07-22,21,2633,90.9,19,0.7,,,102,3.5,24,0.8,2897
2021-07-22,22,1972,84.5,11,0.5,,,180,7.7,23,1.0,2334
2021-07-22,23,1194,73.9,7,0.4,,,287,17.8,24,1.5,1616
2021-07-22,24,523,52.5,10,1.0,,,390,39.1,14,1.4,996
2021-07-22,25,243,32.7,3,0.4,,,443,59.6,7,0.9,743
2021-07-22,26,153,19.6,0,0.0,,,592,76.0,14,1.8,779
2021-07-22,27,58,12.2,0,0.0,,,399,83.8,11,2.3,476
