variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-123.21552425,-122.879,3.92061841730427,3.8555013,-130.1912,-117.48425,1.00548131105116,847.123199455436,1825.49116016798
r_init,-0.194992774783175,-0.193694,0.102193002159389,0.1056330261,-0.3607175,-0.0276999350000001,1.00298530618388,1183.81535384708,1815.94651246023
r_noise,0.0943965292925,0.0891027,0.0451930812536679,0.04154845653,0.030205625,0.17696795,1.00214644318626,1287.10516343766,1302.60019597925
eta[1],-0.496966596701375,-0.4893805,0.928878646548282,0.9240126588,-1.996356,1.0333295,0.99959834449876,3025.92273636312,3220.18517666335
eta[2],-0.64571128232725,-0.64549,0.889462215023795,0.88022073195,-2.0745345,0.85516225,1.00084921527008,3580.5257812077,2853.62758001296
eta[3],-0.63024045691575,-0.6284655,0.867799281254252,0.8481576537,-2.0442435,0.814267149999999,1.00318138083817,3955.39979293868,2736.28737034952
eta[4],-0.6434050179221,-0.647412,0.872113874384383,0.8573594106,-2.065622,0.7686891,1.00337005654812,3441.68119265331,2850.72519808086
eta[5],-0.2633615301555,-0.242665,0.864061022784412,0.8728940934,-1.6981235,1.1151885,1.00002086432147,3242.67376926961,3248.46178589267
eta[6],-0.26708244300875,-0.260788,0.863724473982854,0.8518804623,-1.7065605,1.169273,1.00189625176885,4079.97043608105,2899.60359079703
eta[7],-0.224934731295,-0.2443035,0.873997432271917,0.8816888766,-1.644498,1.2442785,1.00126718889958,3310.44678044776,3107.40533127075
eta[8],0.39620970754525,0.421894,0.929606980724951,0.9142912506,-1.188581,1.877964,1.0026589422278,3499.86096535833,3057.8902753067
eta[9],0.40966908060475,0.412127,0.981190554786552,0.9743461875,-1.195136,2.034433,1.00028250460801,3498.82005829693,2333.6565671605
eta[10],-0.011756040452,-0.02374975,1.02619042720586,1.0442648622,-1.6527255,1.695016,1.00131259697927,4365.2128035144,2755.55876786489
eta[11],0.00542153442225,0.00760554,0.999349635715135,1.013731515804,-1.6480845,1.633703,1.00184868421974,4841.72072124124,2843.71444391512
eta[12],-0.01582664098765,-0.00494073,0.99792171750838,0.9911759214,-1.6692395,1.5662855,0.999401660545312,4233.28837438033,3071.93166808247
eta[13],0.012712001651,-0.010639935,0.98089066389446,1.002995112231,-1.6175055,1.6104865,1.00245236029866,4338.11190129353,3039.5885440851
init_cases,11.9695174,11.95735,0.14276875950961,0.12565035,11.753585,12.22651,1.00198226492115,1669.18702089699,1794.51688516386
sqrt_phi,0.0047225988804525,0.0006785625,0.0224862524348342,0.00085791153084,3.680355e-05,0.015527795,1.00351057743962,1066.07934790149,1884.13566953151
r[1],-0.194992774783175,-0.193694,0.102193002159389,0.1056330261,-0.3607175,-0.0276999350000001,1.00298530618388,1183.81535384708,1815.94651246023
r[2],-0.24286854864345,-0.2415115,0.079398773700208,0.0759765783,-0.37412855,-0.11144595,1.00188432482772,1646.704701431,2103.54932373066
r[3],-0.3029453014,-0.3050535,0.0665443844136821,0.0632669898,-0.4075197,-0.19386625,1.00086831213241,3345.04657383056,2798.35095849996
r[4],-0.357636090425,-0.3573385,0.0634281972345531,0.0580111728,-0.4604515,-0.25560925,1.00146475004879,4333.2171494379,3199.43125998568
r[5],-0.415615575,-0.41231,0.0693410956041745,0.0625968546,-0.53400185,-0.31272545,1.00102128084575,3002.24694467326,3237.85366304313
r[6],-0.43257610775,-0.431026,0.0671245050304548,0.0598584924,-0.5446126,-0.32477965,1.00146819351976,3503.94454310483,3358.70871937656
r[7],-0.45390754925,-0.4525655,0.0693720297575669,0.0632262183,-0.57103875,-0.34465325,1.00152153809398,2644.3993578838,3107.3523978666
r[8],-0.478061318325,-0.474757,0.0787940266104675,0.0734242824,-0.6138283,-0.35820925,1.00037031596916,1809.17749299725,2759.82453331576
r[9],-0.4337880477,-0.432864,0.0721265470401132,0.067146954,-0.55165325,-0.31703085,1.00067433671996,4541.93661013079,3402.94628032146
r[10],-0.388410742445,-0.392314,0.106315095331338,0.0978338087999999,-0.55217175,-0.20714655,1.00035624606356,2989.62886027766,3284.38295295335
r[11],-0.388430274166075,-0.3997405,0.152353669721705,0.1270684569,-0.62360875,-0.124198800000001,1.00027332462871,3225.56180974985,2955.13281087867
r[12],-0.386952616051675,-0.395685,0.185216062384544,0.1495365186,-0.66128375,-0.0725986100000001,1.00154674210783,3606.94737848734,2778.63070815632
r[13],-0.38949272096325,-0.402477,0.214580147056626,0.1735583451,-0.71221505,-0.0220457150000003,1.00121926117962,3754.37773770715,3120.09976913556
r[14],-0.39034572751025,-0.3997775,0.237066083324834,0.1962873444,-0.756055,0.0151370799999997,1.0029873679864,3908.3974198981,2967.98962590739
mean_cases[1],159512.58225,155958.5,23527.3124154686,19605.9024,127209.85,204122.45,1.00226559471793,1669.09215283606,1794.51688516386
mean_cases[2],130591.734225,129921.5,13471.2325457128,11568.7278,109982.95,154203.45,1.00174474757974,3946.29435517846,2605.54720863892
mean_cases[3],102441.327425,102424,10594.9281063693,9104.6466,85182.115,119075.35,1.0012653652657,3450.26696591386,2776.66384971819
mean_cases[4],75715.248525,75784.8,8275.82200504987,7305.28911,62332.635,88696.705,1.00123953109767,2439.06251864343,2393.47305823533
mean_cases[5],52955.12575,52971.6,5862.31906043534,5001.69936,43580.375,62353.955,1.00159620478378,2354.60142157184,1980.21788783689
mean_cases[6],34918.87705,34849.7,3635.45779286794,3061.05009,29339.015,40625.815,1.00084375807791,3078.39590548736,2199.11737103453
mean_cases[7],22652.412925,22545.6,2334.45595011369,1959.47829,19150.345,26279.615,1.00124164144042,4213.76229370997,2919.93130697793
mean_cases[8],14390.981935,14258.75,1544.90775897347,1230.11322,12300.45,16847.52,1.00143182154361,4240.82357477604,2539.9898203823
mean_cases[9],8941.34165,8783.175,1159.88701506231,911.161481999999,7482.581,10860.825,1.00263138277858,2812.0126458443,2110.08194475954
mean_cases[10],5804.7276525,5670.16,867.995771592172,585.975411,4827.905,7185.0975,1.00385442240133,2610.81109754561,1911.08401960518
mean_cases[11],3955.63476,3890.375,750.964482678877,495.766614,3073.5995,4986.257,1.0015124392448,3485.98917036186,2218.0421968242
mean_cases[12],2742.85911025,2633.19,825.585992031038,613.863117,1759.6725,4034.635,1.00022792223658,3485.47240619445,3204.5954547951
mean_cases[13],1965.62418575,1780.155,967.502622019581,635.931618,943.60195,3580.4925,0.99972951876904,3554.55192639079,3193.92049324164
mean_cases[14],1474.129554725,1202.925,1197.74021339698,598.3506732,486.39935,3380.405,0.999835519617329,3539.59840217837,3205.01897094482
mean_cases[15],1188.222204295,813.545,1732.1037931034,522.698043,235.1539,3330.11049999999,1.00037272794644,3546.33036766506,3256.8482498933
phi,56.148548745,38.38885,58.4315117116825,31.78590618,8.025002,164.83675,1.0035105798866,1066.080898906,1884.13566953151
sim_cases[1],159465.7195,154769.5,41421.4623755747,30744.6762,105738.25,230451.3,1.00051377341651,2963.08840376853,2622.03534642507
sim_cases[2],131249.67,129256.5,30271.4281990857,23201.2074,87034.95,182461.2,1.00056136390021,3694.52861423637,3235.621448554
sim_cases[3],102400.762,101989.5,22274.7245511547,18643.695,67989.9,137614.25,1.00064919252642,4086.99312284427,3109.47276306375
sim_cases[4],75996.96275,75504,17131.0524795655,13484.247,49892.15,103921.65,1.0001620672187,3358.77018541965,2731.86991190302
sim_cases[5],52927.07975,52597.5,12042.5718872176,9874.116,33914.05,71469.05,1.00142995027722,3437.42518617539,2965.88044450635
sim_cases[6],34807.00125,34472,8159.0258339699,6080.8839,22673.6,47916.25,1.00055079379476,3564.22535140073,2494.1566330389
sim_cases[7],22599.9995,22244,5597.17791213972,4108.2846,14882.85,31041.25,1.00072838872432,3634.67928243004,2634.40479121821
sim_cases[8],14388.39875,14053.5,3545.87407891119,2628.6498,9754.65,19882.1,1.00115114379587,3589.8516244261,2990.49052232603
sim_cases[9],8904.1925,8609.5,2248.92100380696,1629.3774,5983.45,12671,1.00043792506736,3718.15339475517,3054.64938951723
sim_cases[10],5815.83,5613,1475.92382658641,1048.1982,3951.7,8387.35,1.0011976358909,3736.44420572768,2531.98510093899
sim_cases[11],3929.87875,3821,1218.14427610928,787.2606,2497,5638.05,1.0029069646226,3442.67236600886,2889.36431391266
sim_cases[12],2756.61675,2592.5,1224.17212238138,723.5088,1497,4372.05,0.999916404161535,3450.00552941563,3506.14372338364
sim_cases[13],1972.67925,1761,1152.17276824763,705.7176,851.95,3639.05,1.00073151212327,3547.70369076653,3217.24951205577
sim_cases[14],1477.278,1184,1309.96811576927,615.279,450.95,3395.2,0.999819318035278,3408.52843986034,3464.8763362895
sim_cases[15],1204.2525,792,1991.7573682799,529.2882,221.9,3332.85,0.999751485212473,3493.48332979206,3298.92899753132
log_lik[1],-11.38706284,-11.31825,0.659688860795716,0.604826670000002,-12.56734,-10.474935,1.00392289961112,955.00733441573,1963.01394016064
log_lik[2],-11.0703641975,-11.042,0.493921545944691,0.48822018,-11.913745,-10.311185,1.00267791388603,1010.89939867187,1922.88821232449
log_lik[3],-10.8965268325,-10.86245,0.516610368034249,0.507049199999999,-11.769345,-10.110435,1.00406740424281,1191.13187222163,2093.14488832133
log_lik[4],-10.5537934375,-10.5243,0.505195626903548,0.48592215,-11.438955,-9.7829695,1.00403310501048,1104.81453802461,1913.89857107313
log_lik[5],-10.376080415,-10.34595,0.558576120442559,0.543728724,-11.34701,-9.5466995,1.00353859845146,1101.22535365023,1865.92834415959
log_lik[6],-9.7528696825,-9.726565,0.482047714179116,0.454609638,-10.56874,-9.007139,1.00161745483857,1464.350598398,2212.64866805357
log_lik[7],-9.29305296,-9.270285,0.486368574143485,0.478242282000001,-10.115345,-8.5456255,1.00464773507013,1112.32764494559,1684.87660232085
log_lik[8],-9.1521302925,-9.099415,0.55574028659314,0.471496452,-10.118185,-8.373551,1.00218450165668,1734.78502577081,2309.61807746941
log_lik[9],-8.5912310725,-8.56816,0.627350137196753,0.587858312999999,-9.657805,-7.6494385,1.00031892950014,1643.483771261,2181.26082564056
log_lik[10],-8.106381325,-8.051585,0.628250560412173,0.574448195999999,-9.247059,-7.18098,1.00103032201699,1367.50158309233,2094.1606343109
log_lik[11],-7.954977565,-7.839575,0.7747797818343,0.607799283,-9.392565,-6.9604455,1.00194912066272,1602.95375793521,2517.0448026973
