value_type,type,date,horizon,forecast_start,mean,median,sd,mad,q5,q20,q80,q95
cases,Combined,2021-07-03,1,FALSE,3420,3290,938,817,2170,2670,4070,5060
cases,Combined,2021-07-10,2,FALSE,2560,2300,1220,922,1090,1650,3320,4820
cases,Combined,2021-07-17,3,FALSE,2240,1710,2030,1030,541,1030,2960,5410
cases,Combined,2021-07-24,4,FALSE,2320,1350,3850,1100,257,643,2900,6700
cases,VOC,2021-06-19,1,FALSE,2080,2040,461,400,1400,1720,2410,2940
cases,VOC,2021-06-26,2,FALSE,1940,1900,449,404,1300,1570,2260,2720
cases,VOC,2021-07-03,3,FALSE,1780,1700,582,494,1010,1320,2190,2870
cases,VOC,2021-07-10,4,FALSE,1680,1520,843,652,669,1050,2210,3260
cases,VOC,2021-07-17,5,FALSE,1740,1340,1620,821,391,787,2330,4240
cases,VOC,2021-07-24,6,FALSE,1990,1150,3350,943,213,550,2520,5920
cases,non-VOC,2021-06-19,1,FALSE,6190,6090,1050,864,4680,5400,6880,7930
cases,non-VOC,2021-06-26,2,FALSE,3190,3120,666,569,2290,2680,3640,4300
cases,non-VOC,2021-07-03,3,FALSE,1640,1560,530,465,950,1220,1990,2580
cases,non-VOC,2021-07-10,4,FALSE,873,765,466,342,344,524,1150,1730
cases,non-VOC,2021-07-17,5,FALSE,498,374,457,240,111,213,671,1260
cases,non-VOC,2021-07-24,6,FALSE,325,182,544,154,32,84.8,402,992
voc_frac,VOC,2021-06-19,1,FALSE,0.252,0.251,0.0409,0.0376,0.189,0.22,0.284,0.323
voc_frac,VOC,2021-06-26,2,FALSE,0.377,0.376,0.0569,0.0528,0.286,0.332,0.423,0.473
voc_frac,VOC,2021-07-03,3,FALSE,0.52,0.521,0.0672,0.0632,0.407,0.467,0.575,0.629
voc_frac,VOC,2021-07-10,4,FALSE,0.658,0.661,0.0672,0.0628,0.542,0.608,0.714,0.763
voc_frac,VOC,2021-07-17,5,FALSE,0.774,0.778,0.058,0.0529,0.672,0.732,0.822,0.859
voc_frac,VOC,2021-07-24,6,FALSE,0.859,0.864,0.0447,0.039,0.779,0.827,0.895,0.92
voc_advantage,VOC,2021-06-12,1,FALSE,1.58974150663395,1.58849291460413,0.0302,0.0285,1.52969968002404,1.56004440517841,1.62000392394328,1.65343863879031
voc_advantage,VOC,2021-06-19,2,FALSE,1.58974150663395,1.58849291460413,0.0302,0.0285,1.52969968002404,1.56004440517841,1.62000392394328,1.65343863879031
voc_advantage,VOC,2021-06-26,3,FALSE,1.58974150663395,1.58849291460413,0.0302,0.0285,1.52969968002404,1.56004440517841,1.62000392394328,1.65343863879031
voc_advantage,VOC,2021-07-03,4,FALSE,1.58974150663395,1.58849291460413,0.0302,0.0285,1.52969968002404,1.56004440517841,1.62000392394328,1.65343863879031
voc_advantage,VOC,2021-07-10,5,FALSE,1.58974150663395,1.58849291460413,0.0302,0.0285,1.52969968002404,1.56004440517841,1.62000392394328,1.65343863879031
voc_advantage,VOC,2021-07-17,6,FALSE,1.58974150663395,1.58849291460413,0.0302,0.0285,1.52969968002404,1.56004440517841,1.62000392394328,1.65343863879031
growth,Combined,2021-06-26,1,FALSE,-0.301714285714286,-0.3025,0.167,0.157,-0.516214285714286,-0.405428571428571,-0.194071428571429,-0.0872142857142857
growth,Combined,2021-07-03,2,FALSE,-0.246714285714286,-0.248285714285714,0.228,0.199,-0.535071428571429,-0.383428571428571,-0.116285714285714,0.0451785714285714
growth,Combined,2021-07-10,3,FALSE,-0.201928571428571,-0.201142857142857,0.284,0.24,-0.570428571428571,-0.366928571428571,-0.04015,0.161071428571429
growth,Combined,2021-07-17,4,FALSE,-0.174428571428571,-0.1705,0.339,0.297,-0.608928571428572,-0.372428571428571,0.02585,0.244357142857143
growth,VOC,2021-06-12,1,FALSE,-0.05005,-0.0447071428571429,0.0771,0.0639,-0.157142857142857,-0.0935,-0.00568071428571429,0.0409357142857143
growth,VOC,2021-06-19,2,FALSE,-0.06215,-0.0640357142857143,0.0986,0.0892,-0.187785714285714,-0.123357142857143,-0.00133571428571429,0.0647428571428571
growth,VOC,2021-06-26,3,FALSE,-0.0809285714285714,-0.0801428571428571,0.167,0.153,-0.297,-0.184642857142857,0.0257714285714286,0.131214285714286
growth,VOC,2021-07-03,4,FALSE,-0.0903571428571429,-0.0911428571428572,0.228,0.197,-0.376357142857143,-0.2255,0.0418785714285714,0.205071428571429
growth,VOC,2021-07-10,5,FALSE,-0.099,-0.099,0.285,0.238,-0.466714285714286,-0.264,0.0620714285714286,0.261642857142857
growth,VOC,2021-07-17,6,FALSE,-0.11,-0.1045,0.34,0.297,-0.542928571428571,-0.309571428571429,0.0887857142857143,0.315857142857143
growth,non-VOC,2021-06-12,1,FALSE,-0.513071428571429,-0.509142857142857,0.0804,0.0708,-0.624642857142857,-0.561,-0.466714285714286,-0.416428571428571
growth,non-VOC,2021-06-19,2,FALSE,-0.525642857142857,-0.526428571428571,0.104,0.098,-0.655285714285714,-0.590857142857143,-0.461214285714286,-0.388928571428571
growth,non-VOC,2021-06-26,3,FALSE,-0.5445,-0.543714285714286,0.171,0.16,-0.765285714285714,-0.652142857142857,-0.436857142857143,-0.328428571428571
growth,non-VOC,2021-07-03,4,FALSE,-0.553142857142857,-0.5555,0.231,0.202,-0.840714285714286,-0.689857142857143,-0.418785714285714,-0.254571428571429
growth,non-VOC,2021-07-10,5,FALSE,-0.561785714285714,-0.562571428571429,0.289,0.247,-0.935,-0.728357142857143,-0.397571428571429,-0.199571428571429
growth,non-VOC,2021-07-17,6,FALSE,-0.572785714285714,-0.567285714285714,0.343,0.302,-1.00571428571429,-0.7755,-0.373214285714286,-0.143785714285714
rt,Combined,2021-06-26,1,FALSE,0.739549334516581,0.738968488258944,0.167,0.157,0.596775498507935,0.666691024898044,0.823599073662247,0.9164806858716
rt,Combined,2021-07-03,2,FALSE,0.781363908473002,0.780137015142634,0.228,0.199,0.585627458118088,0.681520756364251,0.890220838147568,1.04621466727672
rt,Combined,2021-07-10,3,FALSE,0.817153293950137,0.817795595266428,0.284,0.24,0.565283122582971,0.692859133215023,0.960645331544791,1.17476887787979
rt,Combined,2021-07-17,4,FALSE,0.839936847575678,0.843243089628613,0.339,0.297,0.54393334270366,0.689058868290712,1.02618700887693,1.27680024915955
rt,VOC,2021-06-12,1,FALSE,0.951181864218506,0.956277493523919,0.0771,0.0639,0.854581966958909,0.910738017426199,0.994335390461763,1.04178513149146
rt,VOC,2021-06-19,2,FALSE,0.939741914931224,0.937971499950385,0.0986,0.0892,0.828792286552764,0.88394791049756,0.998665177383563,1.0668846473422
rt,VOC,2021-06-26,3,FALSE,0.922259564775159,0.922984482041972,0.167,0.153,0.74304401236194,0.831401159821055,1.02610638306514,1.14021208629687
rt,VOC,2021-07-03,4,FALSE,0.913604839555978,0.912887289113772,0.228,0.197,0.686357161706559,0.798117060447891,1.04276784925243,1.22761274845648
rt,VOC,2021-07-10,5,FALSE,0.905742708023548,0.905742708023548,0.285,0.238,0.627059224599017,0.767973539656706,1.06403834475263,1.29906250867519
rt,VOC,2021-07-17,6,FALSE,0.895834135296528,0.900774797406883,0.34,0.297,0.581044129033456,0.733761358001097,1.09284644985156,1.37143432244223
rt,non-VOC,2021-06-12,1,FALSE,0.598654029076437,0.601010509961643,0.0804,0.0708,0.535452627455525,0.57063814029432,0.627059224599017,0.659397610942695
rt,non-VOC,2021-06-19,2,FALSE,0.591175200983902,0.590710888615446,0.104,0.098,0.519293671768864,0.553852350634141,0.630517552016848,0.677782681333642
rt,non-VOC,2021-06-26,3,FALSE,0.580131776723821,0.580587773666587,0.171,0.16,0.465200997414019,0.520928304958207,0.646063719635542,0.720054358843194
rt,non-VOC,2021-07-03,4,FALSE,0.575139385990688,0.573785296812912,0.231,0.202,0.431402268873506,0.501647727908575,0.657845146982519,0.775248676207604
rt,non-VOC,2021-07-10,5,FALSE,0.570189957850249,0.569742127411221,0.289,0.247,0.392585865531518,0.482701348404324,0.671949944508782,0.819081712886745
rt,non-VOC,2021-07-17,6,FALSE,0.563952238666283,0.567062521416009,0.343,0.302,0.365783267707088,0.460473486686842,0.688517677532694,0.866073315315285
