value_type,variable,clean_name,date,type,obs,observed,forecast_start,exponentiated,mean,median,sd,mad,q5,q20,q80,q95,rhat,ess_bulk,ess_tail
growth,r[4],,2021-04-10,Overall,,TRUE,FALSE,,0.0832857142857143,0.077,0.0736,0.0648,-0.00202714285714286,0.0394428571428571,0.128071428571429,0.185428571428571,1,1230,1540
growth,r[5],,2021-04-17,Overall,,TRUE,FALSE,,0.0208214285714286,0.0209,0.0646,0.0602,-0.0586142857142857,-0.0182285714285714,0.0594785714285714,0.0982142857142857,1,2090,1430
growth,r[6],,2021-04-24,Overall,,TRUE,FALSE,,-0.0649,-0.06435,0.065,0.0543,-0.143,-0.102142857142857,-0.0278928571428571,0.0165,1,2040,1610
growth,r[7],,2021-05-01,Overall,,TRUE,FALSE,,-0.154,-0.154,0.0638,0.0546,-0.234928571428571,-0.191714285714286,-0.117857142857143,-0.0728357142857143,1,2470,1720
growth,r[8],,2021-05-08,Overall,,TRUE,FALSE,,-0.231785714285714,-0.230214285714286,0.0644,0.0584,-0.315071428571429,-0.271857142857143,-0.194071428571429,-0.150857142857143,1,2300,1890
growth,r[9],,2021-05-15,Overall,,TRUE,FALSE,,-0.282857142857143,-0.282857142857143,0.0662,0.0575,-0.366142857142857,-0.322928571428571,-0.243571428571429,-0.199571428571429,1,2490,1660
growth,r[10],,2021-05-22,Overall,,TRUE,FALSE,,-0.344142857142857,-0.341,0.0696,0.059,-0.438428571428571,-0.384214285714286,-0.304857142857143,-0.2585,1,1870,1730
growth,r[11],,2021-05-29,Overall,,TRUE,FALSE,,-0.3465,-0.347285714285714,0.0672,0.0575,-0.422714285714286,-0.385785714285714,-0.307214285714286,-0.260071428571429,1,1920,1840
growth,r[12],,2021-06-05,Overall,,TRUE,FALSE,,-0.370857142857143,-0.373214285714286,0.0689,0.0584,-0.454928571428571,-0.411714285714286,-0.330785714285714,-0.281285714285714,1,2010,1730
growth,r[13],,2021-06-12,Overall,,TRUE,FALSE,,-0.425857142857143,-0.421142857142857,0.077,0.0689,-0.528,-0.472214285714286,-0.3795,-0.336285714285714,1,1540,1940
growth,r[14],,2021-06-19,Overall,,TRUE,TRUE,,-0.405428571428571,-0.404642857142857,0.0922,0.0846,-0.521714285714286,-0.463571428571429,-0.349642857142857,-0.285214285714286,1,2530,1880
growth,r[15],,2021-06-26,Overall,,FALSE,FALSE,,-0.414071428571429,-0.414071428571429,0.163,0.145,-0.627785714285714,-0.510714285714286,-0.316642857142857,-0.2145,1,2900,1410
growth,r[16],,2021-07-03,Overall,,FALSE,FALSE,,-0.408571428571429,-0.410928571428571,0.227,0.198,-0.694571428571429,-0.539,-0.275785714285714,-0.1265,1,2800,1200
growth,r[17],,2021-07-10,Overall,,FALSE,FALSE,,-0.410928571428571,-0.414857142857143,0.272,0.236,-0.747214285714286,-0.569642857142857,-0.251428571428571,-0.06655,1,2950,1350
growth,r[18],,2021-07-17,Overall,,FALSE,FALSE,,-0.408571428571429,-0.415642857142857,0.317,0.276,-0.785714285714286,-0.597142857142857,-0.223142857142857,0.00471428571428571,1,2830,1560
rt,r[1],,2021-03-20,Overall,,TRUE,FALSE,,1.11715549074135,1.11540133930728,0.0716,0.0678,1.01783576230961,1.06831065256262,1.16832538490011,1.22761274845648,1,1310,1190
rt,r[2],,2021-03-27,Overall,,TRUE,FALSE,,1.08770658436159,1.08770658436159,0.0616,0.0572,1.00470962702369,1.04695475214775,1.12951203755203,1.17108254296707,1.01,1510,1680
rt,r[3],,2021-04-03,Overall,,TRUE,FALSE,,1.05770344879315,1.06311910891023,0.0699,0.0616,0.95785665383722,1.01663687678606,1.10319915960168,1.14560006209648,1,1290,1430
rt,r[4],,2021-04-10,Overall,,TRUE,FALSE,,1.08685229341784,1.0800420763926,0.0736,0.0648,0.997974910409283,1.04023105541199,1.13663418795383,1.2037342156889,1,1230,1540
rt,r[5],,2021-04-17,Overall,,TRUE,FALSE,,1.02103970683815,1.0211199345383,0.0646,0.0602,0.943070454760061,0.981936564062544,1.0612830189569,1.10319915960168,1,2090,1430
rt,r[6],,2021-04-24,Overall,,TRUE,FALSE,,0.937161174809235,0.937676755226998,0.065,0.0543,0.866754068895489,0.902900556661358,0.972492556850628,1.01663687678606,1,2040,1610
rt,r[7],,2021-05-01,Overall,,TRUE,FALSE,,0.857272021011458,0.857272021011458,0.0638,0.0546,0.790627320991948,0.825542704143312,0.888823018262321,0.929753562707709,1,2470,1720
rt,r[8],,2021-05-08,Overall,,TRUE,FALSE,,0.793116058539803,0.794363363543338,0.0644,0.0584,0.729736748353985,0.761963105187244,0.823599073662247,0.859970542819102,1,2300,1890
rt,r[9],,2021-05-15,Overall,,TRUE,FALSE,,0.753627441233041,0.753627441233041,0.0662,0.0575,0.693403736457234,0.724025568633001,0.783823486640773,0.819081712886745,1,2490,1660
rt,r[10],,2021-05-22,Overall,,TRUE,FALSE,,0.708827659721985,0.71105890820641,0.0696,0.059,0.645049273920789,0.680985486082256,0.737228685252852,0.772209031049185,1,1870,1730
rt,r[11],,2021-05-29,Overall,,TRUE,FALSE,,0.707158819287271,0.706603412724697,0.0672,0.0575,0.655265825176003,0.679916206401058,0.735492978381504,0.770996512657216,1,1920,1840
rt,r[12],,2021-06-05,Overall,,TRUE,FALSE,,0.690142526306326,0.688517677532694,0.0689,0.0584,0.634493287278753,0.662513538595785,0.718359086638804,0.754812643913191,1,2010,1730
rt,r[13],,2021-06-12,Overall,,TRUE,FALSE,,0.653209651120034,0.656296338092223,0.077,0.0689,0.58978335761285,0.623619865770547,0.684203425413887,0.714418956951337,1,1540,1940
rt,r[14],,2021-06-19,Overall,,TRUE,TRUE,,0.666691024898044,0.667215059404203,0.0922,0.0846,0.593502242970198,0.629033082313712,0.704939808983663,0.751853125672143,1,2530,1880
rt,r[15],,2021-06-26,Overall,,FALSE,FALSE,,0.660953738598437,0.660953738598437,0.163,0.145,0.533772418052755,0.60006680655001,0.728590919707728,0.806944811731901,1,2900,1410
rt,r[16],,2021-07-03,Overall,,FALSE,FALSE,,0.66459899943895,0.663034289501461,0.227,0.198,0.499288382874188,0.583331292097639,0.758975550955089,0.881174149543515,1,2800,1200
rt,r[17],,2021-07-10,Overall,,FALSE,FALSE,,0.663034289501461,0.660434621769285,0.272,0.236,0.473684265528604,0.565727448141469,0.777689004840546,0.935616133880097,1,2950,1350
rt,r[18],,2021-07-17,Overall,,FALSE,FALSE,,0.66459899943895,0.659915912657445,0.317,0.276,0.455794018328017,0.550381911522407,0.800000555337275,1.00472541544188,1,2830,1560
raw,lp__,,,,,,,,-181,-181,4.53,4.43,-189,-185,-178,-174,1.01,451,675
raw,r_init,,,,,,,,0.141,0.139,0.0716,0.0678,0.0225,0.0841,0.198,0.261,1,1310,1190
raw,r_scale,,,,,,,,0.117,0.112,0.052,0.0504,0.0442,0.0716,0.157,0.211,1,930,1060
raw,beta,,,,,,,,0.146,0.141,0.399,0.44,-0.509,-0.21,0.522,0.799,1,1050,781
raw,eta[1],,,,,,,,-0.303,-0.321,0.764,0.751,-1.5,-0.933,0.329,0.956,0.999,1670,1510
raw,eta[2],,,,,,,,-0.264,-0.278,0.781,0.779,-1.53,-0.911,0.382,1.06,1,2190,1590
raw,eta[3],,,,,,,,0.159,0.187,0.876,0.886,-1.29,-0.569,0.901,1.55,1,1520,1360
raw,eta[4],,,,,,,,-0.637,-0.594,0.79,0.795,-1.91,-1.29,0.037,0.579,0.999,2480,1430
raw,eta[5],,,,,,,,-0.952,-0.957,0.795,0.737,-2.25,-1.58,-0.318,0.393,1,2900,1500
raw,eta[6],,,,,,,,-0.888,-0.879,0.806,0.803,-2.17,-1.58,-0.247,0.443,1,2610,1590
raw,eta[7],,,,,,,,-0.704,-0.73,0.812,0.791,-2,-1.39,-0.039,0.637,1.01,2950,1430
raw,eta[8],,,,,,,,-0.452,-0.459,0.845,0.819,-1.84,-1.12,0.235,0.947,1,2180,1200
raw,eta[9],,,,,,,,-0.508,-0.532,0.849,0.872,-1.84,-1.23,0.236,0.896,1,2130,1610
raw,eta[10],,,,,,,,-0.00969,0.029,0.806,0.757,-1.41,-0.66,0.632,1.29,1,2390,1510
raw,eta[11],,,,,,,,-0.2,-0.193,0.779,0.779,-1.46,-0.871,0.464,1.06,1,2460,1500
raw,eta[12],,,,,,,,-0.476,-0.495,0.891,0.882,-1.86,-1.23,0.253,1.08,1,1940,1350
raw,eta[13],,,,,,,,0.185,0.204,0.869,0.866,-1.28,-0.55,0.93,1.61,0.999,2890,1450
raw,eta[14],,,,,,,,-0.00588,-0.0256,0.988,0.945,-1.61,-0.823,0.796,1.65,1,3600,1110
raw,eta[15],,,,,,,,0.0119,-0.00335,1.06,1.03,-1.68,-0.869,0.863,1.77,0.999,2900,1210
raw,eta[16],,,,,,,,0.0193,-0.00262,0.985,0.952,-1.56,-0.794,0.851,1.65,1,2980,1230
raw,eta[17],,,,,,,,0.0121,0.01,0.988,0.978,-1.59,-0.803,0.847,1.67,1,3310,1400
raw,init_cases[1],,,,,,,,89700,89400,6150,6020,79700,84600,94800,1e+05,1,1930,1340
raw,sqrt_phi[1],,,,,,,,0.000412,0.000128,0.00169,0.000136,1.42e-05,4.48e-05,0.000415,0.00142,1,728,920
raw,diff[1],,,,,,,,-0.0344,-0.0298,0.0943,0.0788,-0.196,-0.102,0.0348,0.115,1,1260,1420
raw,diff[2],,,,,,,,-0.0696,-0.0649,0.112,0.099,-0.263,-0.154,0.0184,0.104,1,1200,1510
raw,diff[3],,,,,,,,-0.0346,-0.0395,0.108,0.097,-0.205,-0.12,0.0491,0.15,1,1690,1600
raw,diff[4],,,,,,,,-0.114,-0.117,0.0994,0.0964,-0.276,-0.192,-0.0331,0.0457,1,1760,1660
raw,diff[5],,,,,,,,-0.224,-0.221,0.0997,0.0922,-0.39,-0.301,-0.146,-0.064,1,1370,1460
raw,diff[6],,,,,,,,-0.337,-0.338,0.0979,0.0888,-0.494,-0.414,-0.258,-0.186,1,1690,1740
raw,diff[7],,,,,,,,-0.436,-0.435,0.0962,0.0888,-0.598,-0.512,-0.359,-0.277,1,1510,1520
raw,diff[8],,,,,,,,-0.501,-0.504,0.097,0.0895,-0.654,-0.577,-0.426,-0.341,1,1590,1300
raw,diff[9],,,,,,,,-0.579,-0.574,0.103,0.0933,-0.75,-0.656,-0.499,-0.416,1,1560,1760
raw,diff[10],,,,,,,,-0.582,-0.586,0.0952,0.0856,-0.729,-0.654,-0.509,-0.42,0.999,1830,1410
raw,diff[11],,,,,,,,-0.613,-0.613,0.0961,0.0884,-0.765,-0.688,-0.54,-0.454,1,1980,1690
raw,diff[12],,,,,,,,-0.683,-0.678,0.107,0.0967,-0.861,-0.77,-0.6,-0.517,1,1200,1310
raw,diff[13],,,,,,,,-0.657,-0.657,0.115,0.108,-0.84,-0.749,-0.567,-0.473,1,2190,1430
raw,diff[14],,,,,,,,-0.668,-0.663,0.176,0.164,-0.962,-0.804,-0.532,-0.394,1,2430,1420
raw,diff[15],,,,,,,,-0.66,-0.663,0.235,0.21,-1.03,-0.837,-0.484,-0.283,1,2580,1180
raw,diff[16],,,,,,,,-0.664,-0.671,0.28,0.241,-1.1,-0.871,-0.459,-0.212,1,2820,1360
raw,diff[17],,,,,,,,-0.661,-0.67,0.322,0.285,-1.16,-0.9,-0.416,-0.126,1,2740,1410
raw,r[1],,,,,,,,0.141,0.139,0.0716,0.0678,0.0225,0.0841,0.198,0.261,1,1310,1190
raw,r[2],,,,,,,,0.107,0.107,0.0616,0.0572,0.00598,0.0584,0.155,0.201,1.01,1510,1680
raw,r[3],,,,,,,,0.0714,0.0779,0.0699,0.0616,-0.0548,0.021,0.125,0.173,1,1290,1430
raw,r[4],,,,,,,,0.106,0.098,0.0736,0.0648,-0.00258,0.0502,0.163,0.236,1,1230,1540
raw,r[5],,,,,,,,0.0265,0.0266,0.0646,0.0602,-0.0746,-0.0232,0.0757,0.125,1,2090,1430
raw,r[6],,,,,,,,-0.0826,-0.0819,0.065,0.0543,-0.182,-0.13,-0.0355,0.021,1,2040,1610
raw,r[7],,,,,,,,-0.196,-0.196,0.0638,0.0546,-0.299,-0.244,-0.15,-0.0927,1,2470,1720
raw,r[8],,,,,,,,-0.295,-0.293,0.0644,0.0584,-0.401,-0.346,-0.247,-0.192,1,2300,1890
raw,r[9],,,,,,,,-0.36,-0.36,0.0662,0.0575,-0.466,-0.411,-0.31,-0.254,1,2490,1660
raw,r[10],,,,,,,,-0.438,-0.434,0.0696,0.059,-0.558,-0.489,-0.388,-0.329,1,1870,1730
raw,r[11],,,,,,,,-0.441,-0.442,0.0672,0.0575,-0.538,-0.491,-0.391,-0.331,1,1920,1840
raw,r[12],,,,,,,,-0.472,-0.475,0.0689,0.0584,-0.579,-0.524,-0.421,-0.358,1,2010,1730
raw,r[13],,,,,,,,-0.542,-0.536,0.077,0.0689,-0.672,-0.601,-0.483,-0.428,1,1540,1940
raw,r[14],,,,,,,,-0.516,-0.515,0.0922,0.0846,-0.664,-0.59,-0.445,-0.363,1,2530,1880
raw,r[15],,,,,,,,-0.527,-0.527,0.163,0.145,-0.799,-0.65,-0.403,-0.273,1,2900,1410
raw,r[16],,,,,,,,-0.52,-0.523,0.227,0.198,-0.884,-0.686,-0.351,-0.161,1,2800,1200
raw,r[17],,,,,,,,-0.523,-0.528,0.272,0.236,-0.951,-0.725,-0.32,-0.0847,1,2950,1350
raw,r[18],,,,,,,,-0.52,-0.529,0.317,0.276,-1,-0.76,-0.284,0.006,1,2830,1560
raw,mean_cases[1],,,,,,,,89700,89400,6150,6020,79700,84600,94800,1e+05,1,1930,1340
raw,mean_cases[2],,,,,,,,103000,103000,6930,6340,91700,98000,109000,115000,1,2510,1420
raw,mean_cases[3],,,,,,,,115000,115000,8390,7430,102000,109000,121000,128000,1,2170,1630
raw,mean_cases[4],,,,,,,,124000,123000,10000,9340,108000,115000,132000,140000,1,1300,1750
raw,mean_cases[5],,,,,,,,137000,137000,9940,8850,122000,130000,145000,154000,0.999,1880,1540
raw,mean_cases[6],,,,,,,,141000,141000,10200,9280,125000,133000,149000,158000,1,1900,1700
raw,mean_cases[7],,,,,,,,130000,130000,9850,8610,115000,122000,137000,146000,1,2200,1690
raw,mean_cases[8],,,,,,,,107000,107000,7750,7020,94600,101000,113000,119000,1,2390,1370
raw,mean_cases[9],,,,,,,,79400,79100,5770,5160,70700,74900,83600,89300,1,2320,1580
raw,mean_cases[10],,,,,,,,55400,55200,3930,3590,49600,52300,58500,62100,1,2170,1850
raw,mean_cases[11],,,,,,,,35800,35600,2720,2520,31800,33600,37800,40600,1,2000,1720
raw,mean_cases[12],,,,,,,,23000,22900,1690,1540,20300,21700,24300,26000,1,2320,1820
raw,mean_cases[13],,,,,,,,14400,14300,1060,997,12700,13500,15200,16100,1,2140,1870
raw,mean_cases[14],,,,,,,,8350,8320,643,602,7380,7840,8840,9420,1,2270,1880
raw,mean_cases[15],,,,,,,,5000,4960,521,426,4220,4610,5360,5840,1,2330,1700
raw,mean_cases[16],,,,,,,,3010,2930,697,588,2030,2470,3510,4240,1,2630,1710
raw,mean_cases[17],,,,,,,,1910,1750,908,644,876,1270,2400,3450,1,2760,1510
raw,mean_cases[18],,,,,,,,1310,1040,1450,580,352,627,1690,2960,1,2810,1360
raw,mean_cases[19],,,,,,,,1070,620,4030,475,137,303,1230,2780,1,3150,1360
raw,rep_by_case[1],,,,,,,,89700,89400,6150,6020,79700,84600,94800,1e+05,1,1930,1340
raw,rep_by_case[2],,,,,,,,103000,103000,6930,6340,91700,98000,109000,115000,1,2510,1420
raw,rep_by_case[3],,,,,,,,115000,115000,8390,7430,102000,109000,121000,128000,1,2170,1630
raw,rep_by_case[4],,,,,,,,124000,123000,10000,9340,108000,115000,132000,140000,1,1300,1750
raw,rep_by_case[5],,,,,,,,137000,137000,9940,8850,122000,130000,145000,154000,0.999,1880,1540
raw,rep_by_case[6],,,,,,,,141000,141000,10200,9280,125000,133000,149000,158000,1,1900,1700
raw,rep_by_case[7],,,,,,,,130000,130000,9850,8610,115000,122000,137000,146000,1,2200,1690
raw,rep_by_case[8],,,,,,,,107000,107000,7750,7020,94600,101000,113000,119000,1,2390,1370
raw,rep_by_case[9],,,,,,,,79400,79100,5770,5160,70700,74900,83600,89300,1,2320,1580
raw,rep_by_case[10],,,,,,,,55400,55200,3930,3590,49600,52300,58500,62100,1,2170,1850
raw,rep_by_case[11],,,,,,,,35800,35600,2720,2520,31800,33600,37800,40600,1,2000,1720
raw,rep_by_case[12],,,,,,,,23000,22900,1690,1540,20300,21700,24300,26000,1,2320,1820
raw,rep_by_case[13],,,,,,,,14400,14300,1060,997,12700,13500,15200,16100,1,2140,1870
raw,rep_by_case[14],,,,,,,,8350,8320,643,602,7380,7840,8840,9420,1,2270,1880
raw,rep_by_case[15],,,,,,,,5000,4960,521,426,4220,4610,5360,5840,1,2330,1700
raw,rep_by_case[16],,,,,,,,3010,2930,697,588,2030,2470,3510,4240,1,2630,1710
raw,rep_by_case[17],,,,,,,,1910,1750,908,644,876,1270,2400,3450,1,2760,1510
raw,rep_by_case[18],,,,,,,,1310,1040,1450,580,352,627,1690,2960,1,2810,1360
raw,rep_by_case[19],,,,,,,,1070,620,4030,475,137,303,1230,2780,1,3150,1360
raw,phi[1],,,,,,,,108,88.4,85,55,26.6,49.1,149,265,1,728,920
raw,sim_cases[1],,,,,,,,89400,89100,12200,11100,69900,80000,98800,111000,1,2080,1730
raw,sim_cases[2],,,,,,,,103000,103000,14600,13000,79000,91500,114000,127000,1,1960,1720
raw,sim_cases[3],,,,,,,,115000,114000,16400,14400,89900,102000,126000,141000,1,1880,1830
raw,sim_cases[4],,,,,,,,123000,122000,18300,15700,96900,109000,136000,156000,1,1540,1470
raw,sim_cases[5],,,,,,,,138000,137000,19900,16400,109000,123000,151000,169000,1,1890,1930
raw,sim_cases[6],,,,,,,,141000,141000,19900,17200,111000,126000,156000,174000,1,1750,1740
raw,sim_cases[7],,,,,,,,130000,129000,18500,16100,102000,115000,143000,160000,1,1940,1800
raw,sim_cases[8],,,,,,,,107000,106000,14400,12800,84400,95000,117000,131000,1,1990,1810
raw,sim_cases[9],,,,,,,,79300,78500,11300,9660,62000,70600,87300,98300,0.999,1980,1620
raw,sim_cases[10],,,,,,,,55300,54700,8070,7010,43100,49200,61400,69200,1,2120,1840
raw,sim_cases[11],,,,,,,,35900,35400,5170,4410,28600,32000,39700,44800,1,1860,1930
raw,sim_cases[12],,,,,,,,23000,22800,3350,3050,17900,20400,25500,28400,1,2110,1910
raw,sim_cases[13],,,,,,,,14300,14200,1990,1800,11300,12700,15800,17800,1,1840,1810
raw,sim_cases[14],,,,,,,,8360,8240,1260,1050,6630,7410,9210,10500,0.999,2230,1820
raw,sim_cases[15],,,,,,,,4980,4920,815,717,3780,4380,5580,6340,1,2110,1810
raw,sim_cases[16],,,,,,,,3010,2910,797,661,1900,2400,3570,4470,1,2520,1490
raw,sim_cases[17],,,,,,,,1910,1720,942,660,843,1250,2450,3420,1,2620,1500
raw,sim_cases[18],,,,,,,,1320,1030,1440,592,342,628,1700,3010,1,3100,1470
raw,sim_cases[19],,,,,,,,1070,616,3900,477,133,297,1230,2780,1,2820,1270
raw,log_lik[1],,,,,,,,-10.3,-10.3,0.434,0.395,-11,-10.6,-9.96,-9.67,1,808,899
raw,log_lik[2],,,,,,,,-10.6,-10.6,0.506,0.43,-11.6,-11,-10.2,-9.94,1,1130,1150
raw,log_lik[3],,,,,,,,-10.6,-10.6,0.454,0.383,-11.5,-10.9,-10.3,-10,1,997,1150
raw,log_lik[4],,,,,,,,-11.3,-11.2,0.891,0.725,-13.1,-11.9,-10.6,-10.2,1,1380,1450
raw,log_lik[5],,,,,,,,-10.8,-10.8,0.476,0.404,-11.7,-11.2,-10.5,-10.2,1,906,1070
raw,log_lik[6],,,,,,,,-10.8,-10.8,0.491,0.409,-11.7,-11.2,-10.5,-10.2,1,804,1140
raw,log_lik[7],,,,,,,,-10.7,-10.7,0.444,0.407,-11.5,-11,-10.4,-10.1,1,743,899
raw,log_lik[8],,,,,,,,-10.5,-10.4,0.433,0.389,-11.2,-10.8,-10.1,-9.85,1,803,1230
raw,log_lik[9],,,,,,,,-10.2,-10.1,0.448,0.39,-10.9,-10.5,-9.83,-9.54,1,848,1320
raw,log_lik[10],,,,,,,,-9.94,-9.88,0.476,0.405,-10.7,-10.2,-9.57,-9.31,1,814,1050
raw,log_lik[11],,,,,,,,-9.54,-9.47,0.569,0.497,-10.6,-9.92,-9.08,-8.76,1,1010,853
raw,log_lik[12],,,,,,,,-8.94,-8.9,0.433,0.395,-9.72,-9.27,-8.59,-8.31,1,834,1140
raw,log_lik[13],,,,,,,,-8.92,-8.8,0.672,0.521,-10.2,-9.34,-8.42,-8.07,1,1300,1110
raw,log_lik[14],,,,,,,,-8.15,-8.05,0.599,0.516,-9.26,-8.57,-7.67,-7.38,1,1320,1320
raw,log_lik[15],,,,,,,,-7.6,-7.5,0.633,0.471,-8.76,-7.96,-7.14,-6.85,1,833,993
