value_type,variable,clean_name,date,type,obs,observed,forecast_start,exponentiated,mean,median,sd,mad,q5,q20,q80,q95,rhat,ess_bulk,ess_tail
model,beta,Beta,,,,,,FALSE,0.146,0.141,0.399,0.44,-0.509,-0.21,0.522,0.799,1,1050,781
model,init_cases[1],Initial cases,,,,,,FALSE,89700,89400,6150,6020,79700,84600,94800,1e+05,1,1930,1340
model,phi[1],Notification overdispersion,,,,,,FALSE,108,88.4,85,55,26.6,49.1,149,265,1,728,920
model,r_init,Initial growth,,,,,,FALSE,0.141,0.139,0.0716,0.0678,0.0225,0.0841,0.198,0.261,1,1310,1190
model,r_scale,Growth (sd),,,,,,FALSE,0.117,0.112,0.052,0.0504,0.0442,0.0716,0.157,0.211,1,930,1060
cases,sim_cases[1],,2021-03-20,Overall,87328,TRUE,FALSE,,89400,89100,12200,11100,69900,80000,98800,111000,1,2080,1730
cases,sim_cases[2],,2021-03-27,Overall,109442,TRUE,FALSE,,103000,103000,14600,13000,79000,91500,114000,127000,1,1960,1720
cases,sim_cases[3],,2021-04-03,Overall,117965,TRUE,FALSE,,115000,114000,16400,14400,89900,102000,126000,141000,1,1880,1830
cases,sim_cases[4],,2021-04-10,Overall,107223,TRUE,FALSE,,123000,122000,18300,15700,96900,109000,136000,156000,1,1540,1470
cases,sim_cases[5],,2021-04-17,Overall,142664,TRUE,FALSE,,138000,137000,19900,16400,109000,123000,151000,169000,1,1890,1930
cases,sim_cases[6],,2021-04-24,Overall,145568,TRUE,FALSE,,141000,141000,19900,17200,111000,126000,156000,174000,1,1750,1740
cases,sim_cases[7],,2021-05-01,Overall,131887,TRUE,FALSE,,130000,129000,18500,16100,102000,115000,143000,160000,1,1940,1800
cases,sim_cases[8],,2021-05-08,Overall,107141,TRUE,FALSE,,107000,106000,14400,12800,84400,95000,117000,131000,1,1990,1810
cases,sim_cases[9],,2021-05-15,Overall,77261,TRUE,FALSE,,79300,78500,11300,9660,62000,70600,87300,98300,0.999,1980,1620
cases,sim_cases[10],,2021-05-22,Overall,57310,TRUE,FALSE,,55300,54700,8070,7010,43100,49200,61400,69200,1,2120,1840
cases,sim_cases[11],,2021-05-29,Overall,33052,TRUE,FALSE,,35900,35400,5170,4410,28600,32000,39700,44800,1,1860,1930
cases,sim_cases[12],,2021-06-05,Overall,22631,TRUE,FALSE,,23000,22800,3350,3050,17900,20400,25500,28400,1,2110,1910
cases,sim_cases[13],,2021-06-12,Overall,15553,TRUE,FALSE,,14300,14200,1990,1800,11300,12700,15800,17800,1,1840,1810
cases,sim_cases[14],,2021-06-19,Overall,7659,TRUE,FALSE,,8360,8240,1260,1050,6630,7410,9210,10500,0.999,2230,1820
cases,sim_cases[15],,2021-06-26,Overall,5033,TRUE,TRUE,,4980,4920,815,717,3780,4380,5580,6340,1,2110,1810
cases,sim_cases[16],,2021-07-03,Overall,,FALSE,FALSE,,3010,2910,797,661,1900,2400,3570,4470,1,2520,1490
cases,sim_cases[17],,2021-07-10,Overall,,FALSE,FALSE,,1910,1720,942,660,843,1250,2450,3420,1,2620,1500
cases,sim_cases[18],,2021-07-17,Overall,,FALSE,FALSE,,1320,1030,1440,592,342,628,1700,3010,1,3100,1470
cases,sim_cases[19],,2021-07-24,Overall,,FALSE,FALSE,,1070,616,3900,477,133,297,1230,2780,1,2820,1270
growth,r[1],,2021-03-20,Overall,,TRUE,FALSE,,0.110785714285714,0.109214285714286,0.0716,0.0678,0.0176785714285714,0.0660785714285714,0.155571428571429,0.205071428571429,1,1310,1190
growth,r[2],,2021-03-27,Overall,,TRUE,FALSE,,0.0840714285714286,0.0840714285714286,0.0616,0.0572,0.00469857142857143,0.0458857142857143,0.121785714285714,0.157928571428571,1.01,1510,1680
growth,r[3],,2021-04-03,Overall,,TRUE,FALSE,,0.0561,0.0612071428571429,0.0699,0.0616,-0.0430571428571429,0.0165,0.0982142857142857,0.135928571428571,1,1290,1430
