"Fallzahlen in den letzten 7 Tagen pro Bundesland, wie sie am jeweiligen Tag berechnet wurden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand: 05.07.2021 06:55:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020,07/02/2020,07/03/2020,07/04/2020,07/05/2020,07/06/2020,07/07/2020,07/08/2020,07/09/2020,07/10/2020,07/11/2020,07/12/2020,07/13/2020,07/14/2020,07/15/2020,07/16/2020,07/17/2020,07/18/2020,07/19/2020,07/20/2020,07/21/2020,07/22/2020,07/23/2020,07/24/2020,07/25/2020,07/26/2020,07/27/2020,07/28/2020,07/29/2020,07/30/2020,07/31/2020,08/01/2020,08/02/2020,08/03/2020,08/04/2020,08/05/2020,08/06/2020,08/07/2020,08/08/2020,08/09/2020,08/10/2020,08/11/2020,08/12/2020,08/13/2020,08/14/2020,08/15/2020,08/16/2020,08/17/2020,08/18/2020,08/19/2020,08/20/2020,08/21/2020,08/22/2020,08/23/2020,08/24/2020,08/25/2020,08/26/2020,08/27/2020,08/28/2020,08/29/2020,08/30/2020,08/31/2020,09/01/2020,09/02/2020,09/03/2020,09/04/2020,09/05/2020,09/06/2020,09/07/2020,09/08/2020,09/09/2020,09/10/2020,09/11/2020,09/12/2020,09/13/2020,09/14/2020,09/15/2020,09/16/2020,09/17/2020,09/18/2020,09/19/2020,09/20/2020,09/21/2020,09/22/2020,09/23/2020,09/24/2020,09/25/2020,09/26/2020,09/27/2020,09/28/2020,09/29/2020,09/30/2020,10/01/2020,10/02/2020,10/03/2020,10/04/2020,10/05/2020,10/06/2020,10/07/2020,10/08/2020,10/09/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/01/2020,11/02/2020,11/03/2020,11/04/2020,11/05/2020,11/06/2020,11/07/2020,11/08/2020,11/09/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/01/2020,12/02/2020,12/03/2020,12/04/2020,12/05/2020,12/06/2020,12/07/2020,12/08/2020,12/09/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021,01/12/2021,01/13/2021,01/14/2021,01/15/2021,01/16/2021,01/17/2021,01/18/2021,01/19/2021,01/20/2021,01/21/2021,01/22/2021,01/23/2021,01/24/2021,01/25/2021,01/26/2021,01/27/2021,01/28/2021,01/29/2021,01/30/2021,01/31/2021,02/01/2021,02/02/2021,02/03/2021,02/04/2021,02/05/2021,02/06/2021,02/07/2021,02/08/2021,02/09/2021,02/10/2021,02/11/2021,02/12/2021,02/13/2021,02/14/2021,02/15/2021,02/16/2021,02/17/2021,02/18/2021,02/19/2021,02/20/2021,02/21/2021,02/22/2021,02/23/2021,02/24/2021,02/25/2021,02/26/2021,02/27/2021,02/28/2021,03/01/2021,03/02/2021,03/03/2021,03/04/2021,03/05/2021,03/06/2021,03/07/2021,03/08/2021,03/09/2021,03/10/2021,03/11/2021,03/12/2021,03/13/2021,03/14/2021,03/15/2021,03/16/2021,03/17/2021,03/18/2021,03/19/2021,03/20/2021,03/21/2021,03/22/2021,03/23/2021,03/24/2021,03/25/2021,03/26/2021,03/27/2021,03/28/2021,03/29/2021,03/30/2021,03/31/2021,04/01/2021,04/02/2021,04/03/2021,04/04/2021,04/05/2021,04/06/2021,04/07/2021,04/08/2021,04/09/2021,04/10/2021,04/11/2021,04/12/2021,04/13/2021,04/14/2021,04/15/2021,04/16/2021,04/17/2021,04/18/2021,04/19/2021,04/20/2021,04/21/2021,04/22/2021,04/23/2021,04/24/2021,04/25/2021,04/26/2021,04/27/2021,04/28/2021,04/29/2021,04/30/2021,05/01/2021,05/02/2021,05/03/2021,05/04/2021,05/05/2021,05/06/2021,05/07/2021,05/08/2021,05/09/2021,05/10/2021,05/11/2021,05/12/2021,05/13/2021,05/14/2021,05/15/2021,05/16/2021,05/17/2021,05/18/2021,05/19/2021,05/20/2021,05/21/2021,05/22/2021,05/23/2021,05/24/2021,05/25/2021,05/26/2021,05/27/2021,05/28/2021,05/29/2021,05/30/2021,05/31/2021,06/01/2021,06/02/2021,06/03/2021,06/04/2021,06/05/2021,06/06/2021,06/07/2021,06/08/2021,06/09/2021,06/10/2021,06/11/2021,06/12/2021,06/13/2021,06/14/2021,06/15/2021,06/16/2021,06/17/2021,06/18/2021,06/19/2021,06/20/2021,06/21/2021,06/22/2021,06/23/2021,06/24/2021,06/25/2021,06/26/2021,06/27/2021,06/28/2021,06/29/2021,06/30/2021,07/01/2021,07/02/2021,07/03/2021,07/04/2021,07/05/2021
Baden-WÅrttemberg,908,779,665,706,772,760,774,744,765,725,622,551,549,483,455,389,287,374,374,378,368,311,261,310,288,236,282,263,214,148,131,138,133,147,162,156,167,160,153,123,110,148,145,132,135,139,129,109,170,175,184,195,212,178,167,206,231,240,222,190,156,145,185,168,170,185,199,177,173,208,223,244,228,266,242,226,328,331,294,401,406,350,325,367,435,409,430,369,317,299,406,402,363,340,341,316,329,377,391,491,522,598,598,606,749,852,959,1076,1261,1369,1479,1450,1501,1492,1518,1518,1571,1597,1543,1477,1426,1404,1451,1438,1458,1552,1530,1500,1500,1440,1341,1423,1269,1456,1462,1563,1645,1580,1638,1690,1561,1500,1387,1407,1205,1518,1636,1616,1576,1666,1481,1732,1762,1818,1956,2291,2498,2621,2869,3183,3504,3595,3838,4226,4683,4740,5138,5277,5419,5938,6803,7496,8352,8938,9385,10114,10648,11000,11830,12585,12913,12964,13079,13486,13591,14217,14999,15438,15072,14721,14927,14909,14968,14694,14850,14782,14614,14666,14829,14914,15002,15471,14080,14612,14286,14344,14251,14366,14723,14875,14640,14872,14842,15500,16007,16648,16889,17030,17790,18747,19418,20026,20789,21156,21277,17728,21502,22099,22651,23056,23067,22435,22699,21687,19458,17773,16947,16319,15695,14717,14365,14522,14266,14301,13836,13769,11232,12404,13830,15412,15806,15381,14397,14803,14555,13665,12318,13164,12479,11637,10979,10684,10161,10020,9992,9656,9083,8770,8411,8287,8235,8244,8280,7843,7461,7094,6871,6753,6748,6615,6395,6237,5927,5666,5388,5365,5187,4837,4609,4565,4653,4918,4892,4979,5054,5288,5420,5472,5551,5767,5764,5773,6044,6244,6363,6629,6713,6698,6736,6997,7386,7714,8176,8474,8337,8866,9409,9884,10232,11078,11440,11433,11312,12050,12793,13453,13485,14145,14104,13955,14413,14538,14556,13507,13434,12957,11170,11226,12134,13344,14879,15491,15948,17854,18347,18316,18687,18922,19248,18930,19157,20312,20476,20866,21145,21789,21906,21307,19534,20682,20430,20363,20488,19217,17918,17686,17237,16524,16141,16117,15602,14634,14183,13219,11888,11356,11206,10549,9738,9079,8898,8935,8920,8900,8272,6583,5708,5576,5154,4852,4763,4754,4994,4657,4104,3487,3273,3253,3113,2990,2871,2802,2890,2818,2641,2452,2083,1857,1728,1549,1407,1390,1317,1154,1002,900,878,810,798,751,725,693,642,573,611,608
Bayern,1318,1246,1182,1223,1148,1151,1198,1194,1115,1022,1022,997,982,921,823,798,692,674,650,712,738,631,695,707,635,621,606,543,442,386,369,362,297,284,305,322,336,289,273,270,249,253,235,201,215,217,228,233,246,251,250,272,295,296,318,336,373,384,390,373,340,387,429,452,459,453,469,417,458,454,437,478,481,461,409,456,494,488,476,442,494,466,641,656,676,707,714,735,594,586,634,631,722,750,696,632,607,578,646,784,861,986,980,1048,1175,1406,1595,1676,1864,1817,1853,1835,1881,1913,1967,1967,1889,1931,1839,1816,1626,1525,1573,1719,1891,2125,2114,2396,2396,2415,2255,2328,2324,2275,2567,2459,2573,2550,2629,2636,2500,2437,2294,2257,2194,2130,2148,2025,2087,2061,2043,2108,2130,2096,2131,2372,2750,3034,3166,3358,3596,3776,4193,4647,5131,5748,6220,6685,7213,8051,8753,9767,10446,11447,12096,13758,14143,14972,15553,16175,17074,17760,18602,19118,19851,21046,21440,22521,22540,22405,23485,23714,23465,23631,23886,22744,22444,21933,22100,22284,22529,23144,23366,22767,22705,22511,22410,22869,22983,22501,22321,22609,22443,22575,22974,23144,23278,23485,24397,24699,25296,26282,26728,25273,27542,27626,27803,28077,28591,28451,28340,27228,27257,25694,23678,22447,22022,21201,20309,21434,21649,21108,20621,20858,21018,18224,15971,17915,19416,20474,21171,20840,19390,20944,20469,19449,18598,17121,17867,16823,15715,15082,14277,14250,14046,13654,12692,12737,12311,11957,11847,12070,12077,10952,10906,10712,10336,10001,10066,9801,9102,8342,8197,7909,7295,7489,7596,7157,7257,7173,7302,7606,7664,7586,7243,7663,7810,7921,8116,8649,8605,8746,8928,9065,9397,9158,9461,9744,9251,10098,10467,10762,11293,11598,11675,12037,12552,13227,13594,14140,14535,14534,14541,15027,16021,17102,17819,18157,18438,17925,18638,18421,18005,17301,17423,16920,15831,15622,16926,18190,18198,20117,20960,22656,23410,23675,23933,24333,24580,24316,24253,23661,23691,23120,23098,23496,22795,21376,21127,20277,19741,19281,19084,18370,17210,16243,16010,15871,15584,15684,15260,13991,13254,12510,11259,10823,10845,10612,9722,9032,8785,8570,8212,7764,7423,6028,5355,5262,5008,4720,4783,4666,4927,4489,3806,3454,3318,3233,3095,2888,2868,2896,2887,2707,2641,2464,2061,1778,1575,1489,1384,1353,1291,1151,1042,994,946,918,903,887,826,788,773,749,733,733
Berlin,276,265,272,280,269,248,198,170,156,154,181,184,187,191,182,173,159,172,180,177,155,128,110,136,129,155,168,169,182,168,187,175,184,176,200,200,204,199,254,269,301,318,296,292,370,452,455,472,522,506,465,414,327,317,305,286,240,237,219,224,248,263,221,226,213,205,195,184,183,168,151,130,123,115,126,130,125,132,131,148,190,205,215,203,220,274,268,290,317,323,320,289,310,315,336,351,361,355,410,467,383,500,522,531,503,476,400,388,420,450,458,416,407,417,385,385,445,450,435,450,435,459,448,493,512,455,474,459,459,529,520,532,486,538,555,560,658,763,801,854,857,881,943,914,999,1055,991,995,1103,1119,1253,1374,1420,1518,1590,1687,1873,1967,2142,2278,2219,2604,2612,2710,2882,3075,3226,3102,3399,3785,3882,4139,4389,4499,4649,4789,5130,5361,5513,6025,6040,5737,6104,5959,6307,6567,6915,6794,6221,6450,6342,7003,7159,7584,7720,7575,7855,7647,7334,7631,8223,8064,7257,7167,7397,7068,6985,6524,7301,6609,6273,5975,5886,5843,6673,6760,6217,6471,6447,6708,6243,6859,7083,6748,6663,6535,6566,6774,7618,7634,7259,7577,7598,6887,5637,5773,6235,5325,5145,4612,4657,4687,4443,4618,4260,4287,4492,5538,6730,6978,6849,6873,6737,6620,6103,5791,5886,5889,5058,4713,4245,4118,3851,4028,4029,3731,3313,3273,3105,3033,3088,3134,2968,2655,2641,2630,2482,2531,2620,2274,2062,2063,2119,2105,2100,2144,1918,1778,1759,1862,1915,2066,2103,2009,1973,2013,1926,2267,2397,2481,2301,2303,2267,2418,2352,2516,2600,2176,1958,1921,2034,2257,2598,2719,3014,3222,3240,3207,3417,3453,3606,3464,3567,4085,4323,4680,5146,5362,5013,4564,4565,4799,4288,4592,4796,4204,3857,3283,3273,3934,3886,4195,4399,4450,5038,5076,5292,5407,5638,5346,4980,4911,4952,4867,4969,5059,5009,4917,4776,4626,4440,4508,4466,4080,3845,3805,3617,3561,3654,3698,3440,3157,3060,2625,2470,2456,2518,2322,2258,2067,2217,2057,2036,2052,1708,1442,1252,1286,1322,1202,1195,1232,1210,1152,1052,965,972,971,887,828,740,610,574,566,565,499,446,392,310,272,278,274,262,263,237,259,247,238,237,217,209,203,186,182,175,178
Brandenburg,125,116,117,131,118,118,105,72,50,55,49,46,45,42,44,41,29,26,18,17,29,33,26,31,32,33,34,29,24,24,22,18,16,23,24,20,40,25,29,28,31,31,43,40,44,45,45,50,54,48,53,51,40,29,31,35,32,24,27,29,29,30,29,31,29,22,20,17,17,15,17,18,19,21,17,23,23,30,39,50,46,39,39,31,22,19,23,27,26,26,28,28,36,30,48,50,48,50,45,46,61,54,51,56,54,66,60,67,85,83,78,70,74,76,75,75,60,57,50,36,38,30,46,49,52,59,67,64,64,66,64,65,63,65,76,59,71,71,70,70,69,85,102,104,108,108,125,110,131,120,138,158,183,185,186,225,225,266,285,306,294,436,473,512,497,567,579,596,577,723,675,804,887,897,865,1015,1082,1091,1233,1333,1495,1684,1422,1412,1489,1671,1637,1742,1795,1692,1685,1580,1583,1771,1889,2005,1883,1910,1924,2176,2166,2427,2264,2222,2329,2383,2413,2362,2419,2283,2302,2373,2563,2728,2833,2944,2731,2746,2551,2840,3147,3413,3825,3822,3723,4097,4057,4280,4443,4638,5116,4808,4925,4473,3657,3600,3524,3414,3884,4457,4965,4552,4462,4295,3616,3626,3428,5369,6158,5890,6338,6519,5791,5353,5553,5086,5193,5196,5685,5266,5126,4902,4564,4221,4315,4061,3800,3818,3535,3403,3159,3116,3111,2830,2678,2455,2327,2253,2220,2204,2003,1992,1932,1842,1804,1850,1806,1806,1702,1673,1621,1617,1600,1592,1592,1580,1621,1591,1597,1625,1647,1645,1621,1585,1592,1596,1600,1552,1529,1688,1774,1849,1964,2041,2016,2244,2285,2538,2714,2811,2824,2869,2995,3239,3273,3412,3457,3566,3667,3596,3692,3803,3655,3443,3401,3207,2753,2440,2616,2796,3011,3150,3227,3621,3916,3667,3564,3583,3564,3556,3493,3456,3375,3261,3176,3219,3065,2974,2861,2872,2767,2716,2652,2635,2559,2479,2369,2314,2248,2222,2098,2060,1924,1823,1623,1557,1507,1523,1408,1296,1237,1247,1207,1183,1109,880,683,675,586,504,471,464,518,482,371,356,334,329,326,280,234,196,174,178,166,157,151,131,123,112,97,87,82,59,57,67,70,65,65,64,66,70,66,59,59,58
Bremen,119,126,140,155,170,165,151,160,134,130,123,122,117,133,132,120,115,98,82,85,75,65,73,81,103,100,87,123,124,113,123,109,89,96,96,100,101,75,68,71,60,60,59,54,53,55,56,56,61,46,34,32,23,17,14,9,14,15,17,16,17,18,17,12,13,13,14,11,11,12,10,13,13,20,29,30,30,34,30,32,33,28,27,31,33,36,41,39,35,35,35,32,29,24,19,21,22,23,29,30,30,35,38,41,39,46,55,57,58,59,60,62,59,67,74,74,93,89,90,92,95,92,79,78,80,74,72,58,58,61,63,65,64,71,77,65,71,83,82,84,93,90,105,132,153,154,162,188,213,231,238,234,249,249,270,337,367,326,452,463,482,462,469,498,533,493,513,520,563,604,508,685,783,826,864,974,1037,1092,1197,1204,1290,1415,1428,1478,1462,1537,1533,1376,1363,1268,1213,1184,1065,1071,1067,1020,1074,1153,1012,1043,1009,998,978,989,902,756,826,672,633,793,808,788,744,764,736,765,778,734,778,881,870,915,911,887,897,909,870,884,803,889,911,909,940,861,772,701,611,616,646,546,590,579,556,552,547,502,504,501,558,613,619,588,570,572,536,545,588,590,567,535,522,551,540,512,507,518,529,496,504,561,566,567,570,606,587,612,555,532,554,542,469,453,444,408,400,420,438,424,448,376,483,524,511,522,490,517,531,538,544,565,554,513,516,510,479,449,428,439,394,411,420,435,463,508,542,537,577,642,658,684,700,701,720,762,794,853,892,927,943,902,870,855,819,809,816,794,695,677,833,841,902,917,956,1084,1160,1118,1115,1164,1160,1118,1157,1100,1126,1118,1117,1077,1082,1036,1008,945,886,734,881,844,841,821,767,754,676,676,661,613,563,509,457,426,433,428,406,380,397,401,380,354,343,281,226,216,211,223,220,214,243,226,212,196,172,169,159,147,140,122,113,105,99,99,76,72,57,43,43,43,45,51,50,52,52,49,47,43,40,41,41,44,48,51
Hamburg,95,85,86,89,80,85,83,74,57,47,45,45,50,45,41,36,31,23,22,24,23,23,15,12,8,9,9,16,13,14,25,24,26,22,21,24,17,21,22,21,25,25,26,22,17,19,19,25,24,28,21,25,28,24,36,40,34,30,27,24,25,18,19,19,16,15,16,15,14,11,7,8,6,10,13,14,14,14,21,40,51,63,79,79,82,75,93,90,75,102,103,105,101,124,184,221,229,201,222,190,176,172,166,160,142,137,119,126,122,112,139,151,145,137,139,139,149,150,140,163,165,192,210,204,185,200,170,213,213,266,275,254,253,267,245,242,251,297,277,296,313,337,317,362,384,405,420,427,410,407,391,428,445,485,507,500,549,540,558,534,513,533,563,603,486,714,792,742,852,859,975,1164,1312,1382,1546,1620,1708,1725,1717,1861,1932,1873,1851,1844,2007,2002,2285,2347,2251,2085,1955,2104,2173,2274,2250,2032,1889,1692,1873,1787,1979,1952,1831,1827,1330,1612,1393,1506,1471,1361,1254,1277,1292,1685,1930,2012,1938,1884,1925,1942,2003,2317,2335,2370,2300,2411,2439,2478,2710,2725,2705,2755,2833,2870,2646,2565,2565,2091,1917,1856,2093,2189,2180,2027,1882,2085,2084,2172,2496,2575,2585,2347,2210,2123,1929,1836,2011,1813,1724,1586,1527,1523,1464,1514,1660,1555,1393,1550,1306,1522,1512,1487,1401,1103,1201,1175,1148,1173,1186,1148,1083,1073,1066,1103,1146,1135,1118,1081,1114,1109,1052,1234,1182,1210,1176,1187,1351,1284,1344,1320,1371,1286,1253,1273,1295,1410,1354,1334,1095,1225,1299,1412,1468,1495,1532,1515,1223,1677,1841,1989,1908,1963,1830,1818,2002,2231,2531,2533,2599,2474,2568,2507,2555,2721,2634,2527,2213,1987,2020,2051,2268,2367,2389,2338,2337,2344,2300,2325,2322,2302,2084,2005,2005,1940,1899,1945,1934,1761,1634,1723,1661,1692,1697,1663,1588,1442,1443,1437,1405,1381,1346,1237,1149,1036,994,909,836,785,653,648,653,646,643,642,627,536,469,449,430,414,393,371,403,371,372,328,352,354,309,296,292,288,264,276,251,252,225,221,212,210,225,220,196,165,199,187,168,183,184,156,141,143,148,147,163,161
Hessen,447,420,424,415,456,444,442,407,387,350,322,332,337,336,368,388,423,371,428,361,336,314,281,298,289,269,269,252,197,195,172,141,138,131,159,154,161,148,131,115,107,119,118,137,188,217,217,214,242,235,197,193,159,169,163,175,153,184,170,166,168,182,193,190,191,202,189,212,209,219,201,215,217,222,210,230,221,207,234,251,270,269,265,299,336,354,367,360,414,434,434,425,397,473,522,572,585,594,580,597,653,732,699,734,828,897,928,974,972,1089,1110,1073,1146,1018,930,930,754,733,725,653,627,640,590,658,664,669,660,698,698,663,682,696,677,685,721,725,767,743,730,748,762,752,790,847,984,987,1012,1042,1015,1042,1120,1160,1294,1288,1383,1446,1625,1883,1999,2051,2142,2323,2620,2940,3372,3465,3671,4055,4395,4800,5063,5903,6544,6853,7512,8123,8615,9165,9493,9361,10113,10044,9781,9553,9685,10079,10362,10327,10811,10964,11029,10962,10526,10711,10943,10276,9970,10217,10708,10683,10687,10401,10778,10167,9950,9873,9562,9545,9393,9633,9625,9243,9204,8941,9182,9302,9588,9890,9486,9538,10870,11076,11360,11546,11420,11945,11211,12311,12636,13149,12545,13060,11644,12199,10653,10176,9582,8744,7949,8311,8310,8454,8437,8397,8244,8161,7939,8268,9294,10167,10223,9887,9430,8859,8584,8106,8164,8130,7855,7605,7499,7488,7259,7093,7023,6814,6604,6263,5936,5712,5811,5780,5685,5523,5427,5280,5102,5074,5042,4840,4510,4137,3945,3794,3456,3527,3500,3438,3467,3556,3606,3773,3755,3805,3789,3875,3846,4017,3988,4116,4070,4120,4279,4333,4246,4159,4279,4322,4352,4579,4765,5114,5283,5531,5602,5871,6305,6668,7095,7189,7304,7368,7445,7770,8155,8432,8379,8723,8861,8822,8683,8978,9057,8760,8827,8361,7526,7077,7033,7775,8724,8895,8932,10184,10436,10350,9959,10008,10184,9817,9862,10153,10411,11083,11139,11289,11123,11037,10684,10469,9904,9648,9585,9199,8745,8385,8089,7742,7621,7602,7520,7365,7184,6853,6272,5847,5820,5491,5131,4729,4729,4807,4743,4657,4317,3349,3136,3030,2904,2657,2649,2674,2897,2599,2246,1864,1804,1774,1654,1496,1372,1353,1389,1305,1267,1195,999,855,719,670,628,622,578,552,517,483,471,471,473,463,462,463,443,503,502,488
Mecklenburg-Vorpommern,23,23,22,22,24,26,23,23,23,18,24,22,23,20,19,23,18,15,11,10,10,9,1,1,2,3,3,2,2,4,4,5,12,13,13,16,15,16,14,8,8,10,9,9,11,9,10,9,7,7,4,5,5,8,8,9,9,7,6,5,3,3,2,1,1,0,0,0,0,0,0,1,1,2,2,2,5,7,10,21,36,35,34,36,38,46,38,24,31,33,31,37,45,44,61,56,55,56,55,43,33,33,31,32,29,27,27,25,19,21,22,21,20,18,16,16,14,13,11,10,14,16,17,16,15,26,28,29,29,30,25,24,28,33,37,46,48,42,41,57,52,57,49,46,38,38,47,45,54,58,67,59,56,123,103,119,102,116,90,84,116,154,194,225,203,256,268,274,283,309,318,389,431,451,471,503,578,609,690,707,734,687,696,762,779,774,796,807,802,739,580,705,683,676,675,664,698,747,726,742,745,748,781,754,710,755,744,742,757,750,723,749,756,784,758,812,833,919,1065,1139,1257,1334,1448,1466,1489,1552,1607,1543,1527,1551,1567,1549,1537,1401,1335,1247,1239,1242,1324,1430,1451,1487,1459,1472,1552,1551,1656,1740,1998,2134,2157,2074,1964,1876,1899,1862,1909,1953,1911,1803,1824,1732,1703,1710,1713,1650,1665,1618,1587,1559,1504,1458,1436,1300,1381,1399,1353,1364,1356,1322,1240,1140,1072,1032,1071,1054,1026,1030,1034,1045,1082,1071,1087,1080,1038,1044,1029,984,1048,1058,1064,1056,1130,1094,1081,1077,1095,1061,1007,942,1008,934,1011,1048,1028,1032,1029,1025,1050,1117,1176,1192,1279,1358,1533,1621,1667,1716,1711,1661,1557,1490,1445,1338,1480,1516,1222,1415,1521,1765,2002,1984,2052,2441,2540,2387,2347,2361,2408,2281,2214,2222,2274,2242,2243,2241,2179,2234,2124,1990,1942,1929,1934,1926,1700,1640,1563,1469,1418,1402,1362,1253,1211,1157,961,933,936,915,852,757,680,720,658,637,605,378,359,310,288,236,237,233,284,226,188,151,135,139,140,99,85,96,85,79,77,74,69,65,52,45,34,35,34,34,32,29,34,34,34,34,26,27,27,22,22,21
Niedersachsen,361,350,351,430,417,429,376,305,310,296,227,262,264,249,269,257,279,336,372,364,361,330,311,344,376,373,415,392,384,330,354,408,416,436,485,452,424,384,339,332,336,323,263,293,277,240,210,344,337,293,291,253,212,192,204,223,194,188,167,150,138,129,153,146,123,121,97,96,81,73,84,86,92,127,135,200,208,222,225,256,255,185,192,220,170,194,217,258,245,277,315,296,297,357,367,341,356,377,389,364,424,381,384,412,388,406,471,545,595,572,595,586,514,498,500,500,515,550,481,463,466,498,498,461,478,496,482,495,495,524,520,557,557,620,606,777,827,840,871,822,804,804,761,864,788,722,883,872,810,828,958,953,1021,1113,1148,1233,1350,1451,1405,1292,1776,1768,1838,2192,2421,2449,2531,2738,2573,2879,2973,3441,3552,4107,4316,4938,4832,5150,6098,6260,6830,7104,7128,7055,7012,6862,6858,7467,7440,7259,7434,7597,8235,8375,7823,7669,7045,6842,6770,6986,6817,7143,7497,7334,6827,6570,6841,6703,6619,6200,5967,5583,5317,5863,5749,6090,6067,5931,6290,6346,6879,6821,7501,7259,7105,7294,7825,8128,7998,8760,9087,8532,8830,8187,8184,7776,7690,6972,6362,6362,6726,7112,7114,7282,7057,6109,6050,6758,8114,8768,9490,9146,8639,7975,7431,7889,7317,7788,7849,7221,7216,7095,7111,6846,6756,6682,6020,6104,5741,5651,5750,6063,6074,5193,4923,5491,5364,5304,5524,5384,4782,4710,4814,4789,4659,4869,5139,5027,4844,4581,4871,5015,5084,5138,4817,5013,5208,5200,5066,5206,5294,4756,4711,4680,4592,4700,5025,4974,4806,4979,5207,5547,5201,6095,6085,6027,6462,6675,6995,7065,7385,7559,7247,7499,7840,8268,8916,9417,9329,9054,9038,8627,8156,7826,8094,7649,6800,6131,6536,6911,7753,8217,8534,8877,9436,9295,9267,9370,9866,9714,9236,9003,9131,9068,8917,9475,9590,8839,8378,8527,8139,8130,7956,7879,7383,7184,7139,6854,6670,6760,6736,6254,5940,5461,4940,4725,4727,4497,3989,3722,3768,3744,3701,3627,3423,2714,2231,2044,1979,1843,1866,1920,2096,1947,1769,1522,1406,1365,1258,1108,962,884,834,791,780,678,589,508,460,413,391,378,358,327,316,293,259,245,249,239,237,235,260,272,295,297
