variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-546.244862,-545.8685,3.19708240438546,3.13050989999997,-552.0922,-541.53585,1.01057964974338,668.304084584463,1511.27105887444
r_init,-0.111390551988575,-0.130864,0.145173812614081,0.12857196156,-0.320139,0.16468925,1.00223594698922,868.137023571373,765.058325584711
r_noise,0.077405468154725,0.06665355,0.0569161180753625,0.05773830027,0.00620943,0.18738545,1.01103881559614,542.167759194552,966.748173326068
delta_mod,0.3547886035575,0.330279,0.204600350107729,0.2156434287,0.059144075,0.7235118,1.00416355363876,1085.6969710115,710.380491457195
delta_noise,0.078417423356375,0.0656642,0.060963185997369,0.05832755964,0.005449106,0.1966839,1.00212431598623,987.701688755101,858.279889671615
eta[1],-0.16795699939715,-0.197516,0.963583128823546,0.9821609721,-1.720543,1.4508835,1.00362158685627,1259.57163290884,1535.21691337248
eta[2],-0.105336681560725,-0.1110085,0.952071657270359,0.9967230693,-1.6169645,1.467844,1.00287829291157,1366.18684432082,1913.91404276964
eta[3],-0.09150887696195,-0.0734635,1.02370528853841,1.0112718231,-1.816112,1.5890225,1.00457607727519,1114.14473951259,1255.76564478665
eta[4],-0.05010453862525,-0.0490177,0.98025782933618,0.97762970172,-1.6752255,1.527296,1.00230310237683,1374.49056413051,1294.27387567605
eta[5],-0.057962399262,-0.07503305,1.00936807242547,1.03679337363,-1.701309,1.598953,1.00492569443817,1123.41580216177,1135.04898304859
eta[6],0.04675767543025,0.0222458,0.977915012630509,1.0029166308,-1.5381875,1.672253,1.00564931096363,1295.06126803781,1116.46245954426
delta_eta[1],0.01623271288625,0.0221465,1.00314398631365,0.9804441213,-1.6786435,1.65262,1.00276176098049,1399.70159446071,1401.64191128039
delta_eta[2],-0.018305210822,-0.0252345,1.00191937412531,1.0367384433,-1.6636315,1.6000345,1.00148025814794,1573.08170778519,1335.92328249549
delta_eta[3],0.047498180911525,0.04998915,1.0083120799032,0.9882173931,-1.585335,1.731549,1.00218958521881,1424.36070833716,1533.62294579774
delta_eta[4],0.024984120288275,-0.0001474645,0.995455063581056,0.9724959027,-1.572429,1.71392,1.00361630720716,1131.3296889147,1337.75894598068
delta_eta[5],-0.011256394752,0.0124449,0.959463635711707,0.9703231524,-1.59022,1.522512,1.00054903868904,1229.00940065525,1321.74649143628
delta_eta[6],-0.05453727508775,-0.03882165,1.02490792817496,1.0444168287,-1.7523445,1.6318105,1.0019386870586,1196.89714106999,1436.61234184507
init_cases[1],1021.060392,1020.975,25.4167671851156,25.8343050000001,979.7769,1063.2405,1.00135242733957,1154.65323102476,1569.79530182553
