variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-4200.6140025,-4200.33,5.12659377617637,4.95188400000022,-4209.6005,-4192.7,1.00506044258315,959.945902087603,1683.80276115346
r_init,-0.143466782816,-0.1459525,0.0963042460455834,0.09384865413,-0.2965687,0.0115464249999999,1.0006453880445,2943.14773603738,2803.85223373792
r_noise,0.1264635545,0.1214865,0.0417058103093575,0.04048899057,0.0666443,0.20241725,1.00050836097032,2716.57844966746,2904.00707738406
delta_mod,0.37308568189425,0.383763,0.123641398584383,0.1248957066,0.157557,0.5505938,1.00322789889508,2085.86986289632,2782.59081583747
delta_noise,0.1123753064402,0.111094,0.0596892230984212,0.06144821025,0.017193775,0.2115452,1.00373919467241,1434.46232891202,1388.56428224441
eta[1],-0.57783762461575,-0.557507,0.861526251406117,0.8475475638,-2.030181,0.83749675,1.0011796709467,4344.22203043656,2922.80465218003
eta[2],-0.71094487081525,-0.706863,0.824494668724755,0.8135582175,-2.0490675,0.6401305,1.00297487642958,4432.02839649909,2648.16649621137
eta[3],-0.63222204534725,-0.6064945,0.820040173358134,0.79234354584,-2.0295765,0.651581,0.999911107895381,4052.29391473546,2477.77117128181
eta[4],-0.756704935011,-0.759086,0.810984940737695,0.7933674294,-2.0861455,0.60715225,1.00354930183634,4555.02317530137,2824.53963998125
eta[5],-0.3999963665315,-0.3634395,0.861668446092922,0.841961127,-1.808744,0.952060249999999,1.00055108642455,3379.88111871056,2995.90424644455
eta[6],-0.64816698289,-0.6375225,0.806116463034229,0.81555401949,-1.975925,0.685073499999999,1.00072482960657,4642.70263836987,3002.54413728848
eta[7],-0.86461579139019,-0.8909505,0.897048738184903,0.9077433477,-2.2937345,0.625341499999999,1.00237158889739,3064.2863378109,2588.13172780138
eta[8],-0.0808268171905,-0.07755025,0.889398135439836,0.9048589494,-1.5623795,1.3627905,1.00108266889358,4780.05072185981,2688.75584989079
eta[9],0.20010632492025,0.226177,0.922470695642095,0.9083660397,-1.3458335,1.7058525,0.999748819215824,5676.44710508208,3349.6337916625
eta[10],-0.0159292918045,-0.03974,1.00312946445413,1.0183401186,-1.6326475,1.650918,1.00080194639488,5702.46623659774,2970.52296027855
eta[11],-0.007526748839,0.000304376,0.983050619927024,0.9744944475,-1.6225685,1.623753,1.00135932101285,5444.05199646026,2970.77468235313
eta[12],0.00755228319445,0.01164205,1.0039675427596,1.02058840737,-1.628615,1.6377505,1.00038912741599,6570.04600677617,2935.5132096946
eta[13],-0.005743772341225,-0.0232642,1.00744225525211,1.0216604013,-1.655786,1.6245665,1.00086710805604,5644.93401855344,3087.87951445095
delta_eta[1],0.2287398612565,0.22069,0.920320018239767,0.9198428463,-1.2732515,1.7507275,1.00071436456581,4012.39108204237,3004.46259051892
delta_eta[2],0.191416126446,0.200616,0.94765294223648,0.9621918327,-1.3667435,1.7512075,1.00166578292551,4529.01611890119,3165.36502161883
delta_eta[3],0.23821765697325,0.2413295,0.945308711957618,0.9489136671,-1.282124,1.8059605,1.00469913266739,4656.12161243212,2696.76977253861
delta_eta[4],0.5217777332705,0.5111075,0.939580759017877,0.9274070715,-1.0230025,2.0158765,1.00256910799938,4939.26788062244,2973.17392400457
delta_eta[5],0.7625024712185,0.7975475,0.985479718997201,0.9813989157,-0.88295695,2.352951,1.00198308784684,3253.54700359103,3413.02456287216
delta_eta[6],0.6163699744505,0.6380645,0.963784462625485,0.97369888434,-0.9855657,2.1983645,1.00298189655158,3751.6173345964,3053.21390020823
delta_eta[7],0.248608611994,0.2380845,0.931118441958644,0.9547632654,-1.2858635,1.7791275,1.0003622857046,4708.05223479771,2964.84652640295
delta_eta[8],-0.0508925714075,-0.0432883,0.94260887858954,0.94754641338,-1.590199,1.4795095,1.0004047949352,4602.52881915121,3113.74178908851
delta_eta[9],0.05872419434675,0.07841655,0.976288524829431,0.9863248542,-1.572917,1.6312935,1.00095331779435,5026.77928189252,2523.82374650666
delta_eta[10],-0.01371659079,-0.01544705,0.999508283637047,1.0160280039,-1.618594,1.618786,1.00051256591709,4386.61068539575,2911.96815663507
delta_eta[11],0.010461162325125,-0.00147016,0.971402218784004,1.000118460516,-1.5221655,1.6117035,1.00108102656502,6627.72459789552,2880.67268365068
delta_eta[12],-0.0190540323905,-0.02059515,1.00787907179345,0.9962753241,-1.66299,1.590288,1.00077334427364,5886.51427918647,2872.07352239877
delta_eta[13],-0.03128475094025,-0.0199751,0.983400297000066,0.9823878099,-1.669776,1.5963895,1.00041819618335,5410.23195134444,2753.06629890418
init_cases[1],11.899695625,11.89975,0.115387173153221,0.10178049,11.712995,12.09381,1.00075652165297,3331.47750596904,2254.24118018387
init_cases[2],6.9812566725,6.981045,0.164239914882811,0.163597497,6.7134905,7.253462,1.00126902532529,4824.37183698481,3115.43760717817
sqrt_phi[1],0.002437717884379,0.000316201,0.0121795163034778,0.00040657777167,1.5353445e-05,0.0085346145,1.00401720695095,1522.0140544775,2185.67614399264
sqrt_phi[2],0.000458912540277994,7.656375e-05,0.00153154709042019,0.000108265775289,1.0269385e-06,0.0019385325,1.0028790838343,1501.97409756868,2527.07160374309
r[1],-0.143466782816,-0.1459525,0.0963042460455834,0.09384865413,-0.2965687,0.0115464249999999,1.0006453880445,2943.14773603738,2803.85223373792
r[2],-0.21458837727525,-0.215613,0.0769722650827815,0.0717600639,-0.33670655,-0.08944142,1.00141190406196,4022.32679799022,2966.15105796221
r[3],-0.29959307518475,-0.2996875,0.0727827104175299,0.0684694332,-0.41585015,-0.17887565,0.999592743870921,4287.3254072495,3317.99343334838
r[4],-0.370711943075,-0.3701795,0.071790999118797,0.0661209948,-0.48367625,-0.2548478,1.00015049033235,5233.08751552533,3247.65488951059
r[5],-0.4596285663,-0.458385,0.0752937208143646,0.0681781023,-0.5867369,-0.338033,1.00045189057485,4393.99732298207,3322.32306762524
r[6],-0.50100291325,-0.4988425,0.075186145565107,0.0692692958999999,-0.6277906,-0.3804043,1.00056797598149,4368.51786111299,3059.52494734842
r[7],-0.57672897475,-0.5758705,0.0789489009482833,0.0742790013,-0.7074913,-0.45119055,1.00011716195787,4150.60391672468,3111.62228399345
r[8],-0.68711803575,-0.683322,0.108751722556862,0.107088198,-0.87511525,-0.513124,1.0031933713474,1625.38201750572,3027.39685167829
r[9],-0.695829228,-0.6884475,0.135984340383838,0.1325637138,-0.9322357,-0.4949505,1.0013478416132,1989.83078951207,3051.18573606276
r[10],-0.6700074675,-0.658277,0.168335350735668,0.1648110051,-0.96098245,-0.4133092,1.00055940893819,2305.09455421433,2981.82201851196
r[11],-0.671943015725,-0.660881,0.217041182634695,0.2005609389,-1.042303,-0.34132745,1.0004159801588,3292.02121178474,2935.47212701765
r[12],-0.67306822758,-0.656174,0.259170559893581,0.2329646445,-1.113808,-0.2691524,1.00116864278507,3671.64637824976,3140.70855128223
r[13],-0.671980426743875,-0.6622775,0.293793707720824,0.2672408739,-1.1572945,-0.21435005,1.00131296585582,3905.40592456907,3211.97409119867
