variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,date,Type
sim_cases[1],159465.7195,154769.5,41421.4623755747,30744.6762,105738.25,230451.3,1.00051377341651,2963.08840376853,2622.03534642507,2021-04-24,Overall
sim_cases[2],131249.67,129256.5,30271.4281990857,23201.2074,87034.95,182461.2,1.00056136390021,3694.52861423637,3235.621448554,2021-05-01,Overall
sim_cases[3],102400.762,101989.5,22274.7245511547,18643.695,67989.9,137614.25,1.00064919252642,4086.99312284427,3109.47276306375,2021-05-08,Overall
sim_cases[4],75996.96275,75504,17131.0524795655,13484.247,49892.15,103921.65,1.0001620672187,3358.77018541965,2731.86991190302,2021-05-15,Overall
sim_cases[5],52927.07975,52597.5,12042.5718872176,9874.116,33914.05,71469.05,1.00142995027722,3437.42518617539,2965.88044450635,2021-05-22,Overall
sim_cases[6],34807.00125,34472,8159.0258339699,6080.8839,22673.6,47916.25,1.00055079379476,3564.22535140073,2494.1566330389,2021-05-29,Overall
sim_cases[7],22599.9995,22244,5597.17791213972,4108.2846,14882.85,31041.25,1.00072838872432,3634.67928243004,2634.40479121821,2021-06-05,Overall
sim_cases[8],14388.39875,14053.5,3545.87407891119,2628.6498,9754.65,19882.1,1.00115114379587,3589.8516244261,2990.49052232603,2021-06-12,Overall
sim_cases[9],8904.1925,8609.5,2248.92100380696,1629.3774,5983.45,12671,1.00043792506736,3718.15339475517,3054.64938951723,2021-06-19,Overall
sim_cases[10],5815.83,5613,1475.92382658641,1048.1982,3951.7,8387.35,1.0011976358909,3736.44420572768,2531.98510093899,2021-06-26,Overall
sim_cases[11],3929.87875,3821,1218.14427610928,787.2606,2497,5638.05,1.0029069646226,3442.67236600886,2889.36431391266,2021-07-03,Overall
sim_cases[12],2756.61675,2592.5,1224.17212238138,723.5088,1497,4372.05,0.999916404161535,3450.00552941563,3506.14372338364,2021-07-10,Overall
sim_cases[13],1972.67925,1761,1152.17276824763,705.7176,851.95,3639.05,1.00073151212327,3547.70369076653,3217.24951205577,2021-07-17,Overall
sim_cases[14],1477.278,1184,1309.96811576927,615.279,450.95,3395.2,0.999819318035278,3408.52843986034,3464.8763362895,2021-07-24,Overall
sim_cases[15],1204.2525,792,1991.7573682799,529.2882,221.9,3332.85,0.999751485212473,3493.48332979206,3298.92899753132,2021-07-31,Overall
sim_delta_cases[1],1106.5835,1087,253.0851705526,228.3204,735,1553.05,1.00067685043879,3857.80538446624,3489.91896536036,2021-04-24,DELTA
sim_delta_cases[2],1276.79875,1247,304.530818642898,262.4202,843,1776.05,1.00015451710327,3377.0273634203,3477.21930546929,2021-05-01,DELTA
sim_delta_cases[3],1460.549,1414,376.543552408902,309.8634,957,2089.05,1.00017463510642,3773.98577252543,3565.38661944354,2021-05-08,DELTA
sim_delta_cases[4],1586.06975,1554,392.825466138143,336.5502,1022.95,2253,0.999992150018,3607.9858512448,3025.80965452416,2021-05-15,DELTA
sim_delta_cases[5],1710.6195,1673,409.483467794915,340.998,1135.95,2412.05,0.999960279217808,3585.7867005054,3311.45808698566,2021-05-22,DELTA
sim_delta_cases[6],1872.14725,1827.5,460.964542719772,366.9435,1248.95,2667.05,0.99997780137221,3839.40870810845,3551.49551649101,2021-05-29,DELTA
sim_delta_cases[7],2107.57,2061,471.799426424719,388.4412,1447,2915.05,1.0001933028392,3572.07257841888,3722.1473819592,2021-06-05,DELTA
sim_delta_cases[8],2431.88275,2393,511.421403507351,407.715,1696.9,3298.05,1.00028739056439,3788.26519980235,3552.43764778898,2021-06-12,DELTA
sim_delta_cases[9],2734.53325,2695,549.835982176741,440.3322,1953.95,3669.05,1.00046729991286,4046.05580660219,3098.09008308553,2021-06-19,DELTA
sim_delta_cases[10],3068.6005,3002,714.109909706157,489.9993,2166.9,4119.15,1.00138676410809,4084.94168538312,3518.26219171605,2021-06-26,DELTA
sim_delta_cases[11],3398.00475,3303.5,906.25594573897,618.9855,2266,4786.15,1.0005772618602,4377.14295707368,3600.20328098349,2021-07-03,DELTA
sim_delta_cases[12],3862.096,3642,1510.95703333124,948.1227,2167.7,6091,1.00003751576421,4190.77864112286,3237.29120284013,2021-07-10,DELTA
sim_delta_cases[13],4511.06275,4010.5,2769.94682316524,1442.5698,1938.85,8448.4,1.00047046468626,5067.84968388962,3437.2491597376,2021-07-17,DELTA
sim_delta_cases[14],5546.3455,4426.5,5657.03722342063,2173.4916,1579.3,12341.45,0.999978530158292,5036.65174643119,3320.85465763462,2021-07-24,DELTA
sim_delta_cases[15],7616.959,4858,20296.8248564925,3040.0713,1192.75,19324.35,1.00067765061589,5056.9427257411,3030.16084883453,2021-07-31,DELTA
sim_ndelta_cases[1],145161.8135,143714.5,29079.4987109568,23173.038,100961.4,194289.4,1.00074034364175,3402.68466756329,3378.56766990909,2021-04-24,non-DELTA
sim_ndelta_cases[2],126986.60175,126778.5,24252.0734604988,19456.1598,89956,164888.6,1.00101055791246,3874.2953090251,3444.26340510101,2021-05-01,non-DELTA
sim_ndelta_cases[3],102713.818,101870,20986.7350768092,15645.8778,72521.65,134711.25,1.00013683421793,4389.27187946767,3059.95240229938,2021-05-08,non-DELTA
sim_ndelta_cases[4],76568.0115,76046,14742.6372962228,11587.2603,54642.6,101705.55,0.999885147276293,4160.14559242666,3760.14523086528,2021-05-15,non-DELTA
sim_ndelta_cases[5],54550.62,53611,11217.2669526972,8259.5646,39460.6,72321.7,1.00106508869498,3696.64484150281,3374.40046290339,2021-05-22,non-DELTA
sim_ndelta_cases[6],35302.83825,34436,7429.78499102364,5518.9785,25672.6,47670.45,1.0002360055027,4060.20663106646,3554.50552716981,2021-05-29,non-DELTA
sim_ndelta_cases[7],21372.8205,20968,4259.06358105002,3171.2814,15423.95,28732,0.999772006491477,4049.94581266954,3584.40679368073,2021-06-05,non-DELTA
sim_ndelta_cases[8],11408.2005,11370,2419.82239232601,1812.4785,8041.35,14818.1,1.00148645249923,3921.1508279367,3507.87433200993,2021-06-12,non-DELTA
sim_ndelta_cases[9],5114.55675,5059.5,1057.32895893912,806.5344,3599.95,6765.55,0.999957264629232,3964.10367926059,3664.18023722992,2021-06-19,non-DELTA
sim_ndelta_cases[10],2183.32425,2130.5,492.297005066288,386.9586,1509.9,3025,1.00007323718217,4249.52092632292,3330.51888071667,2021-06-26,non-DELTA
sim_ndelta_cases[11],950.74175,909,312.056949837562,266.1267,538,1519,1.00168763870779,4485.58285934213,3682.52291108495,2021-07-03,non-DELTA
sim_ndelta_cases[12],436.52675,389,249.984089084958,183.8424,164,853.05,0.999450568038231,4492.56165348754,3673.68806231564,2021-07-10,non-DELTA
sim_ndelta_cases[13],214.01875,167,179.590833884531,112.6776,46.95,532.05,0.999843899123773,4547.75748144968,3361.90507102389,2021-07-17,non-DELTA
sim_ndelta_cases[14],113.46675,71.5,148.122584265296,63.0105,12,343.149999999999,1.00054778855998,4732.24690713148,3654.05793696413,2021-07-24,non-DELTA
sim_ndelta_cases[15],70.989,31,185.121363863925,34.0998,3,234.099999999999,1.00051449916355,4810.46596934121,3292.04664664939,2021-07-31,non-DELTA
sim_cases[1],146268.397,144823,29098.7529050739,23164.1424,102139.35,195112.55,1.00072001730961,3401.0194167669,3347.72744901912,2021-04-24,Combined
sim_cases[2],128263.4005,128109,24274.0616929959,19418.3535,91232.4,166508.55,1.00093026659827,3869.81184025395,3443.94456590755,2021-05-01,Combined
sim_cases[3],104174.367,103391.5,21018.6008789367,15620.6736,73852.9,136261.25,1.00006094543089,4385.25311313469,2989.08916271345,2021-05-08,Combined
sim_cases[4],78154.08125,77596.5,14786.5216887902,11645.0817,56079.95,103245.3,0.99989677686305,4168.61111339736,3848.68718060098,2021-05-15,Combined
sim_cases[5],56261.2395,55420,11260.2801085129,8306.2665,41177.8,73890.6,1.00089824620762,3697.72339646457,3375.89720302545,2021-05-22,Combined
sim_cases[6],37174.9855,36284.5,7486.35044631501,5573.8347,27444.15,49639.75,1.00018389731737,4054.97275189885,3546.04377096843,2021-05-29,Combined
sim_cases[7],23480.3905,23117.5,4333.63873225205,3238.7397,17410.65,30979.4,1.00004578259227,4065.56300926639,3441.04943936731,2021-06-05,Combined
sim_cases[8],13840.08325,13775,2501.28976458967,1896.9867,10255.9,17378.6,1.0022197962203,3920.86396361385,3574.54666971998,2021-06-12,Combined
sim_cases[9],7849.09,7802,1250.35153602533,938.4858,6061.95,9846,0.999942722716447,4155.21139647295,3664.24442757827,2021-06-19,Combined
sim_cases[10],5251.92475,5160.5,917.843666610236,630.8463,4097.7,6652.35,1.00105724083342,4138.87245372948,3367.23698995326,2021-06-26,Combined
sim_cases[11],4348.7465,4226.5,989.037357465008,630.8463,3169.95,5874.35,1.00089263459804,4269.30566642571,3484.58962846122,2021-07-03,Combined
sim_cases[12],4298.62275,4057,1563.40093995661,939.2271,2606.85,6550.2,1.00019518542192,4197.85430553794,3404.29353548593,2021-07-10,Combined
sim_cases[13],4725.0815,4215,2803.63980102495,1440.3459,2126.9,8686.6,1.00042319350415,5144.12257658607,3357.94380608684,2021-07-17,Combined
sim_cases[14],5659.81225,4524,5680.6442487424,2174.2329,1661.9,12489.6,1.00025074386051,5055.12090737065,3414.36897512534,2021-07-24,Combined
sim_cases[15],7687.948,4924.5,20311.4024905859,3031.1757,1237.55,19335.65,1.00062295268167,5068.10934648427,3150.66112040246,2021-07-31,Combined
