variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,date,Type
r[1],0.733197055259583,0.717324113054313,0.0864712244864074,0.0744524655,0.661066228332852,0.881995345676535,1.04414975154069,77.0685379254615,22.4239617843202,2021-04-24,Overall
r[2],0.752686819233746,0.739195386411924,0.107095270511262,0.093307431,0.655188105897596,0.938102496146923,1.02672660267581,137.086912094757,63.4979881101561,2021-05-01,Overall
r[3],0.725325113547281,0.722639354061695,0.0884347130840065,0.0773502072,0.637561554839414,0.840123940344291,1.00379431559357,728.66319674449,821.05337956573,2021-05-08,Overall
r[4],0.70391011656436,0.700881114837456,0.0854024205970678,0.0677889198,0.610937021250228,0.808337548219575,1.00822117487211,826.499899391707,1785.24356158682,2021-05-15,Overall
r[5],0.669503832145889,0.674682546646755,0.0915594593614137,0.0731944794,0.575854560097744,0.768044926114852,1.01255303724671,548.19940893853,2226.09396868915,2021-05-22,Overall
r[6],0.664570631372885,0.665975763663206,0.092632568845583,0.0768765165,0.576443211363089,0.769167936772048,1.00702171228451,429.474400303618,2262.26462953422,2021-05-29,Overall
r[7],0.656949281498649,0.65731297767041,0.0919523591717986,0.0815674629000001,0.564709296339219,0.759906636468511,1.00239154575659,824.636479381016,1536.13910895175,2021-06-05,Overall
r[8],0.645663586960716,0.650406972812225,0.0990050491216973,0.0833339808,0.542825702742949,0.744898396827875,1.00773858097948,969.064474349421,1774.42086253192,2021-06-12,Overall
r[9],0.66607409619809,0.669705309446936,0.0949292937781594,0.0786267258000001,0.571430478823425,0.769905499182932,1.00753921356956,657.975756087652,2696.21301226218,2021-06-19,Overall
r[10],0.689865577658271,0.688180239046542,0.105046282868972,0.0866794677,0.589222740255566,0.821375955887298,1.00911780677099,397.936062195427,1257.10603286136,2021-06-26,Overall
r[11],0.697441267049155,0.690805825340363,0.132779346665284,0.0995291619,0.575568345154966,0.881427964246147,1.00757367586776,488.004751106443,718.876757090534,2021-07-03,Overall
r[12],0.692332401978867,0.691389802958571,0.145876116713149,0.1063498632,0.529067635451917,0.875763457670053,1.02012715316301,211.408767421182,77.1289998388564,2021-07-10,Overall
r[13],0.700836562507023,0.696757394382277,0.15608053215086,0.1124685534,0.535342044960391,0.912872529801808,1.0191487433254,212.143168815548,132.134373870971,2021-07-17,Overall
r[14],0.6995093690107,0.698388668172523,0.158128375446783,0.1133581134,0.529098189990118,0.903265273142176,1.02465351296659,181.317628425793,71.2945064806597,2021-07-24,Overall
