variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-3115.91093,-3115.52,4.38678200383691,4.46262599999965,-3123.64,-3109.3795,1.00322477541387,946.934503836622,1494.3712176632
r_init,-0.153976635517125,-0.1492715,0.0806127780721746,0.07397810763,-0.30048415,-0.02612582,1.00400222261172,955.982269667867,640.12606412976
r_noise,0.1144345912525,0.1082075,0.0483928337130809,0.04203734388,0.045930785,0.2082402,1.00145888853455,694.713900466508,431.523520117394
delta_mod,0.40142805415,0.398186,0.0837281912667696,0.0642291972,0.27050175,0.545455,1.00310394922324,869.315181020094,964.889044083517
delta_noise,0.0679939056523,0.05653505,0.0525224737544636,0.05092160199,0.005136688,0.16993735,1.00229103039247,1301.89474919034,1267.96979840489
eta[1],-0.580890334286825,-0.559631,0.854414916143533,0.83960342235,-2.042762,0.814626,1.00241575290045,1204.60829991678,619.840021758098
eta[2],-0.71759821426775,-0.7197825,0.828530843664756,0.8184863799,-2.028458,0.61508525,1.00118033728825,2212.52956617792,2589.18375714336
eta[3],-0.62940440843705,-0.6239855,0.829018891150566,0.82878340755,-2.018685,0.665891899999999,1.00261780256059,1694.54518916601,1496.24695175235
eta[4],-0.64239117795095,-0.626698,0.828638570431263,0.8238096552,-1.981167,0.69665475,1.00216287039073,2402.2239769371,2028.66741985925
eta[5],-0.28747565362825,-0.2666645,0.852958514576657,0.7987670586,-1.7234495,1.0759705,1.00476287292597,1912.4810581565,1329.8393348326
eta[6],-0.34986810203775,-0.3398015,0.831722929640923,0.8354147067,-1.7547685,1.002049,1.00195661536562,2690.81488004778,2349.06592094255
eta[7],-0.480511080109,-0.502152,0.949678818644903,0.9338763966,-1.9887195,1.111128,1.00140860617147,1027.80061493126,879.91987000877
eta[8],0.013832594716,0.0123416,0.994411592612363,0.98954965746,-1.6653235,1.6808885,1.00179708625182,1504.57369569273,990.668911078419
eta[9],-0.00525957213675,-0.007001125,0.998511809100709,0.996911544825,-1.7025745,1.648345,1.00163014802063,2326.13260197163,771.763328943953
eta[10],-0.007771897797,-0.0298094,0.967247247500497,0.93218015394,-1.5739955,1.64445,1.00137208235534,2317.50894399679,1071.02827518142
eta[11],-0.034144177303,-0.0491161,1.0109987705046,1.0519899495,-1.6912315,1.637149,1.00461295342004,2249.73835635817,2181.44951669934
delta_eta[1],-0.04404478512875,-0.03165875,1.00166695264424,0.97060521705,-1.7733255,1.5896355,1.00240627176946,1303.43786932431,561.439370585736
delta_eta[2],-0.1268159102295,-0.1432275,0.990395706701935,1.0194869097,-1.7301905,1.516395,1.00195162480453,1346.45174742566,1296.36987939078
delta_eta[3],-0.050475883878925,-0.0643072,0.956784714239357,0.92057198898,-1.6254995,1.567964,1.00614743619926,2073.12919763435,1115.75663676909
delta_eta[4],0.023648275079,0.027835,0.972018986488504,0.9560494209,-1.541017,1.612612,1.0017684816539,1332.36187700688,783.759352885422
delta_eta[5],0.10196755488275,0.0743552,0.990618963534853,1.01326918182,-1.518345,1.7968,1.00054055566865,1805.99845250477,1438.2878616771
