variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-3785.344915,-3785.08,4.87203640970276,4.83327599999965,-3793.8105,-3777.9995,1.0073772657588,906.727542569384,1533.45358399339
r_init,-0.16683510824255,-0.165224,0.101071055772357,0.0951599397,-0.3356425,-0.00292251400000002,1.00187359779855,1593.57168951923,1611.41834452315
r_noise,0.11211693562,0.106826,0.043601659054264,0.04056823554,0.052669475,0.1931464,1.00170636656963,1708.82283407601,1335.25073842755
delta_mod,0.3927555498625,0.4012945,0.107961220903995,0.0945446607,0.20306545,0.55763915,1.00035353876555,2064.75126664404,2327.14719168331
delta_noise,0.0766094516162,0.0667537,0.0558756858730424,0.05644013571,0.0061775205,0.18128655,1.00171124552375,1713.62464411399,1248.51310178668
eta[1],-0.571072095006625,-0.5727735,0.854470318479443,0.81161956974,-1.993884,0.8193009,1.00054179144291,3589.30352071453,3287.14719361252
eta[2],-0.70967591859025,-0.714587,0.843206449055791,0.8581110888,-2.049973,0.658664349999998,1.00033965026194,4712.6740829738,3262.76859745395
eta[3],-0.664926198071,-0.6211635,0.854555606694106,0.8300728989,-2.1026005,0.71284295,0.999880401733467,4701.634238088,2809.66641754204
eta[4],-0.6975839644245,-0.712379,0.82980764370337,0.8227280985,-2.0562745,0.65756265,1.00062880425917,4156.27603706711,3005.76932411611
eta[5],-0.338591891378,-0.3187715,0.856747418811332,0.8773626498,-1.7840675,1.038796,0.999939561341689,4380.51603311657,3162.55946081867
eta[6],-0.4569264299095,-0.453273,0.855549794035026,0.8269453542,-1.8814775,0.957864649999997,1.00113723869339,4391.11769034354,2525.83760300875
eta[7],-0.639228092135,-0.662357,0.887376231447889,0.88234589079,-2.034733,0.845343799999999,1.00134543633363,3424.80980060536,3024.8739263094
eta[8],-0.02460680785575,-0.0173165,0.963978199225947,0.9199429218,-1.6216885,1.5706135,1.00100716720917,4368.8161286947,3085.35436600667
eta[9],0.00452316965925,0.009589155,0.965074706877185,0.9552176823,-1.5785965,1.6226965,1.00283568718477,5894.68972436392,2293.39507598586
eta[10],-0.00217765710855,-0.00990296,1.009709063034,1.0417377705,-1.639088,1.6799655,0.999684849163125,5841.26510485405,2973.23691632275
eta[11],0.00810751175375,0.00303316,1.01646355971975,0.990950062116,-1.666144,1.7030595,1.00172061301038,6485.2695195861,2920.94871402456
eta[12],-0.0066269287495,-0.005643475,1.02608634263671,1.024419556965,-1.667814,1.7016765,1.00161333746364,5617.67680724656,2631.34215566159
delta_eta[1],0.07001298625775,0.071943,0.965399859873631,0.9650428725,-1.5057035,1.6521015,1.00008647645309,4589.95527566595,2958.3671048485
delta_eta[2],0.06812443798825,0.0820626,0.970578235736951,0.97694651964,-1.5418045,1.6200465,1.00197801888718,5501.90591038876,3162.20923965151
delta_eta[3],0.10566873009875,0.1131375,0.960326268108624,0.9655076676,-1.473825,1.669615,1.00191527474299,4365.9796311094,2863.33249423049
delta_eta[4],0.2292133084755,0.240812,0.968833543302809,0.9699702936,-1.35924,1.807731,1.00142414036237,5315.62957589714,3330.81890320992
delta_eta[5],0.3156479121185,0.3126745,0.986549929064357,1.0110998415,-1.3100745,1.917022,1.00038942870213,4637.17188013096,2899.48609398014
delta_eta[6],0.11633846322645,0.130566,1.01884585595471,1.0267635105,-1.541229,1.7245265,1.00141710146811,5300.50154618433,2963.29130518037
delta_eta[7],-0.115240901328,-0.1196895,0.988104413013193,1.0081583631,-1.7306945,1.5346005,1.00245197535744,5228.2930900855,2950.23470978945
delta_eta[8],-0.02208429017425,-0.0328884,0.993904205583558,0.99244295136,-1.670005,1.6196055,1.00024943975758,5408.88664022931,2945.24765441035
delta_eta[9],0.013903022453725,0.02138615,0.986199939643556,0.9881039742,-1.617505,1.6513985,1.00047152427052,6215.35327467574,2650.50338242519
delta_eta[10],0.0419755787524825,0.040198,0.979140643127302,0.9842225274,-1.580604,1.691447,1.00044770916496,6195.40849860404,3311.31962108493
delta_eta[11],-0.03426977770325,-0.04209185,1.02142207318532,1.0208857428,-1.6814735,1.612795,1.00197711165918,5749.37999373399,2859.08289495677
delta_eta[12],0.0079766838429575,0.0267325,0.993283964323652,1.0153237689,-1.6058495,1.6342015,0.999733239542127,5778.06884266908,2877.58971570463
init_cases[1],7.07968918,7.080095,0.286503648493833,0.283443468,6.609157,7.548519,1.00127558438627,3246.97667902502,3158.29727970102
init_cases[2],11.921964675,11.91505,0.141021484265343,0.115494540000001,11.706985,12.16911,1.00058308971765,2518.0056701771,1995.51380646188
sqrt_phi[1],0.006385474655243,0.0004344775,0.0381767755493124,0.00058433320911,1.8798505e-05,0.019014265,1.0050077407779,973.193030861626,1521.87679852042
sqrt_phi[2],0.000360714618698775,7.04308e-05,0.0016312710827256,9.0265365603e-05,3.3237035e-06,0.001375077,1.00051068106906,2621.57945746197,2451.84990791962
r[1],-0.16683510824255,-0.165224,0.101071055772357,0.0951599397,-0.3356425,-0.00292251400000002,1.00187359779855,1593.57168951923,1611.41834452315
r[2],-0.2296070595825,-0.228612,0.0794871445344042,0.0733916652,-0.36337,-0.10235335,1.00146716947759,2849.72364683496,2205.25932431915
r[3],-0.3055814119725,-0.305664,0.0725076964455433,0.0669208574999999,-0.42332665,-0.18620645,1.00038754483238,4351.89815574828,2984.59085851065
r[4],-0.372277746925,-0.3726675,0.0703561354576981,0.06286224,-0.48398395,-0.25894135,1.00045503266701,4759.39165309039,3353.78215011381
r[5],-0.44501711805,-0.444334,0.0722698346282629,0.066531675,-0.5607102,-0.32569245,1.00064384421895,3638.03337603203,3191.82174502197
r[6],-0.47545964625,-0.4747075,0.0733600889046567,0.0670898739,-0.5945939,-0.3621374,1.00039184099845,4017.1937413463,2867.99350676537
r[7],-0.5224689685,-0.522382,0.0819272435128048,0.0732708333,-0.655872,-0.3918936,1.00046414108364,3750.09066608909,2450.83629220859
r[8],-0.595150202325,-0.596873,0.102953022990664,0.0926936346,-0.76647715,-0.42658475,1.00210167370985,1708.07287722859,2153.27306681005
r[9],-0.593663393225,-0.592091,0.124028838108827,0.1108384347,-0.7944484,-0.3934261,1.00029530028386,3002.16031121633,2781.15806678291
r[10],-0.5938347906225,-0.590491,0.173786659457512,0.159045915,-0.87254235,-0.31968605,1.00078014073258,3898.0289956971,3274.17987432834
r[11],-0.5949284453275,-0.588693,0.212950956718415,0.1904110593,-0.94431405,-0.26824595,0.999840169100951,4204.01720996204,3292.59701671354
r[12],-0.5921339379825,-0.589555,0.243622069618144,0.2111496681,-0.9851104,-0.20649535,1.00124318004491,4631.46932108975,3163.58616956668
r[13],-0.5913136178945,-0.5871305,0.273104559620158,0.2354161236,-1.019749,-0.160086850000001,1.00045190254078,4699.93475769252,3213.32878957679
delta_r[1],0.22592044905255,0.227308,0.139362026365587,0.13135836,-0.0018937765,0.44887155,1.00154847262043,1715.46834766319,2519.53318691667
delta_r[2],0.1694770598185,0.1717085,0.119567959224988,0.11331170802,-0.024843355,0.3596762,1.00099995943112,2984.94112290865,3022.39104386574
delta_r[3],0.0980845758106,0.1014835,0.112645684608436,0.10547750136,-0.09169775,0.2745041,0.99978848733128,4382.79045745778,3484.35494597367
delta_r[4],0.040818379425825,0.04180975,0.109948611430365,0.1024113363,-0.14227505,0.21536155,1.00063040638114,4313.28616866943,3475.49246465921
delta_r[5],-0.009704520107225,-0.00866101,0.11150289005391,0.10290978642,-0.1939419,0.17135105,1.00022646310446,3741.56476356991,3165.41894520082
delta_r[6],-0.005964660046875,-0.01129325,0.125466826267934,0.11615110941,-0.2022306,0.2041482,1.00011756252456,2924.37805109569,2971.50045306601
delta_r[7],-0.041099431276425,-0.05071505,0.14348719261026,0.13306105197,-0.26245685,0.212372,1.00039277385693,2764.39594026008,3108.96008500113
delta_r[8],-0.1277003362093,-0.1385825,0.157501274220427,0.13649645856,-0.3661696,0.152591,0.999668294041829,2820.75695150398,3136.81022381603
delta_r[9],-0.1293061318789,-0.136375,0.175454058293643,0.1515083766,-0.39806405,0.163407,1.00034305899709,3410.30108836145,3418.85901394068
delta_r[10],-0.128043518649155,-0.135759,0.234606588046561,0.206837526,-0.49854045,0.2555639,1.00048455873473,3731.53178453734,3682.11965835396
delta_r[11],-0.126240043812225,-0.134104,0.281441110605859,0.24582701493,-0.5656998,0.33990625,1.00026806657892,3788.76020040271,3132.51343179769
delta_r[12],-0.1280416708565,-0.1350975,0.32123326440698,0.27739935258,-0.6345978,0.416184449999999,1.00058587080983,3958.24160192777,3242.02520421447
delta_r[13],-0.12559667162635,-0.1323985,0.361562007145545,0.30890393541,-0.71025485,0.50537435,1.00063756438554,4024.75090693597,2981.83264951677
mean_ndelta_cases[1],152057.963475,149498,22043.0133064283,17176.6623,121417.4,192742.45,1.00044285604555,2518.1473401739,1995.51380646188
mean_ndelta_cases[2],128118.990125,127852.5,13434.6489571522,10836.3234,106670.3,149560.7,1.00218335639468,4498.99833489558,2662.05348494209
mean_ndelta_cases[3],101842.9393,101996.5,10729.013033934,8842.30053000001,84531.175,118600,1.00282442085996,3701.85153998323,2199.12403999099
mean_ndelta_cases[4],75051.009525,75282.35,8129.81944915081,6782.82087,61474.18,87383.06,1.00156621075881,3227.84913634551,1671.80597363018
mean_ndelta_cases[5],51730.633525,51806.2,5671.66104655949,4585.38528,42400.355,60602.29,1.00054697476639,2950.27174186738,1698.90285551143
mean_ndelta_cases[6],33143.54525,32976.75,3627.51743766554,2940.06993,27401.85,39186.66,1.00075099740475,3359.36242258937,1893.91862885515
mean_ndelta_cases[7],20598.08125,20523.35,2227.12462106589,1811.81133,17245.59,24156.935,1.00136845200501,3532.51491435581,2241.22783880742
mean_ndelta_cases[8],12227.41418,12154.2,1443.69133697416,1165.24947,10090.775,14493.125,1.00179503325142,4008.28225184942,2565.54926584288
mean_ndelta_cases[9],6778.8822925,6652.8,1114.04016346224,800.522457,5347.8435,8579.817,1.00204730695473,2959.05209277508,2119.39928960463
mean_ndelta_cases[10],3798.19472825,3687.465,956.458409174297,663.915693,2603.301,5266.861,1.0025393196245,2375.64347741508,1662.01776341552
mean_ndelta_cases[11],2178.31016725,2043.54,871.173198109246,620.156754,1143.3935,3579.9725,1.00085399157996,2604.10834356827,2079.59284956467
mean_ndelta_cases[12],1294.994447725,1130.11,793.550651045186,514.83285,478.3043,2614.9335,1.00043294874396,2820.24423596361,2265.02482140116
mean_ndelta_cases[13],813.040578805,625.308,764.492900500631,392.9890755,190.26445,1945.6685,1.00028161453465,3109.22998316347,2625.88796723871
mean_ndelta_cases[14],550.797134538,346.6955,829.367145712095,275.8873971,72.167345,1534.7755,1.00021851196116,3315.20638920417,2898.46521507671
mean_delta_cases[1],1237.45646775,1188.08,364.259083644786,332.5953645,741.85755,1897.937,1.00085470070903,3246.96191207828,3158.29727970102
mean_delta_cases[2],1538.920818,1480.265,409.360786929703,361.38375,983.2662,2270.9675,1.00031961544492,4450.5691975864,3230.9800342617
mean_delta_cases[3],1819.458897,1754.195,470.648443300535,410.739504,1192.9225,2662.551,1.00007525043192,3844.93383406564,3452.29689136325
mean_delta_cases[4],2003.394749,1939.195,502.375460552485,436.69983,1329.671,2868.3195,1.00017715562401,3131.44727563717,3199.07073088576
mean_delta_cases[5],2083.613591,2028.47,503.893665147736,461.444424,1385.1675,2946.861,1.00064408513955,3171.46003814507,3257.60246741493
mean_delta_cases[6],2057.35394575,2006.035,471.643895229612,407.240568,1394.881,2875.218,1.00053298262848,3608.06338354931,3699.87578272309
mean_delta_cases[7],2039.4549665,1998.615,436.9299446762,368.781924,1408.48,2790.9,1.00051871691896,4116.27407099519,2861.78496901285
mean_delta_cases[8],1968.83631825,1946.705,462.54218322539,415.231782,1266.811,2757.128,1.00013728609166,3400.89163667401,2557.03952965073
mean_delta_cases[9],1766.695552,1706.635,545.956499633334,486.166779,981.70685,2728.23,0.99948281092735,2958.40937483305,3351.54395789993
mean_delta_cases[10],1615.467411,1489.495,738.747515665964,553.588014,747.4872,2882.958,0.999492061011996,2573.91320129069,3108.61664312333
mean_delta_cases[11],1556.911017475,1287.955,1245.58066046245,644.9213631,507.92715,3399.6815,0.999513718215982,2733.36329921223,2845.15741205808
