variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-2506.190935,-2505.905,4.68711044534441,4.63312499999933,-2514.4705,-2498.959,1.00957441406939,776.836470449972,2093.04197421238
r_init,-0.18777513802775,-0.189436,0.106583024213906,0.107955519,-0.34966085,-0.00558581700000013,1.0032074962649,1636.12113116815,2347.76040260392
r_noise,0.09484695900275,0.09099525,0.050764699254088,0.04934945295,0.018490925,0.18693095,1.00370731214381,1517.45291741499,1567.86074527711
delta_mod,0.3340711636175,0.32962,0.11362051426456,0.1010110206,0.15640085,0.5270811,1.00001204615733,2565.46806299794,2493.42469458422
delta_noise,0.07250510105875,0.06098285,0.0558695673424554,0.0533194851,0.0061450665,0.1826264,0.999975193755016,2818.57113141472,1926.3040620798
eta[1],-0.478227574405,-0.4839755,0.900890940102548,0.9154009767,-1.967622,0.972150999999999,1.00219859188014,3324.58869277992,2549.26800077017
eta[2],-0.60518081379625,-0.6022045,0.947110613390067,0.92695398894,-2.1527665,0.9610875,1.00024927341457,3701.54663830363,2413.50265201839
eta[3],-0.534463061705925,-0.5262025,0.900901427340894,0.88917029859,-1.9930175,0.9522888,1.00017758504333,4140.67063768474,2866.72129323305
eta[4],-0.5188509367475,-0.5414335,0.905124070059438,0.9002740089,-1.9690815,0.99593045,1.0005876494557,3565.77654424421,2711.46190894459
eta[5],-0.070960389816,-0.0607779,0.9215373388585,0.91064420286,-1.6261155,1.434091,1.0002754409361,5559.31640135655,3273.51976496506
eta[6],-0.000449468010325001,0.01599605,0.958147956300628,0.9307977777,-1.5983415,1.549507,1.00019087182844,5341.49440838213,2855.56151247746
eta[7],-0.0027459046865,-0.0080197,0.99797327848679,0.98969954832,-1.617708,1.6536045,1.00048817025024,6547.25190252345,2930.26261013285
eta[8],0.01717684880405,0.010000675,1.00838786320235,1.0163838279,-1.614905,1.7262245,1.0003797207741,6862.81402237933,2936.76801000467
eta[9],0.0031833172973175,0.0193874,1.00323546122786,0.98660936514,-1.6355555,1.6142385,1.00075271238257,5916.89024562726,2596.88763203977
eta[10],-0.021505334457,-0.0243314,0.993052954626724,1.0063251282,-1.6351875,1.6078865,1.00201779630963,6245.52552575851,2762.37931511016
delta_eta[1],-0.02576441365525,-0.04085385,0.986234818243476,1.00229564379,-1.6181445,1.581159,1.00012140082648,3976.24593723918,3126.8264788474
delta_eta[2],-0.1127021909115,-0.1016425,0.983481649748266,0.9954762027,-1.75137,1.4964965,1.00074713106495,4541.11879493814,2454.95002786394
delta_eta[3],-0.14190792505125,-0.15734,0.972211623878281,0.9856272909,-1.723498,1.4584285,1.0003266768982,5327.74871832185,2922.95347046098
delta_eta[4],-0.09940177681775,-0.1077845,1.02261754835981,1.010621703,-1.8026195,1.5958075,1.0019854511107,6227.43382234789,2894.12034368064
delta_eta[5],0.0060832185675,-0.0122565,0.992866290075252,1.0046401533,-1.6453765,1.624724,1.00130208889976,5783.28702944775,2686.01123849208
delta_eta[6],-0.007399328615,-0.003589525,0.998156707437824,0.9928327269,-1.6584835,1.6538445,1.00162380464795,6042.83340081798,2937.03538795061
delta_eta[7],0.00122457720425,0.01724025,0.997482995363188,1.01917000395,-1.6261425,1.647681,1.00059647552302,5455.03034784762,3082.74498446973
delta_eta[8],-0.02207862474825,-0.0011280085,1.00609244639287,0.9866258346021,-1.692779,1.6107275,1.00446554804938,5246.3861673133,2283.01126338727
delta_eta[9],-0.00605125345675,0.0184141,0.963614221872125,0.9794211273,-1.6195795,1.5313905,1.00119317384146,5861.40302890201,3021.36847020713
delta_eta[10],0.0374331542225,0.03309555,1.00091257495221,1.02784944087,-1.608248,1.673471,1.00069285870147,5727.94271303231,2549.86835633198
init_cases[1],7.1578980025,7.167565,0.26642865167178,0.263821257,6.70406,7.58344,1.00143612677244,3324.34705958941,3128.49621582293
init_cases[2],11.904140425,11.908,0.170819185564323,0.13454595,11.61281,12.168225,1.00497968503643,2177.04135971669,1555.11608439974
sqrt_phi[1],0.029273424787707,0.001326115,0.1177842987966,0.00191767845864,1.5837205e-05,0.15133025,1.00888084601168,690.700673354717,1890.43642164928
sqrt_phi[2],0.000610697346773195,1.479405e-05,0.00625793235538548,2.12344754895e-05,2.113256e-07,0.001233416,1.00080276949622,2706.95758706438,2616.33967159287
r[1],-0.18777513802775,-0.189436,0.106583024213906,0.107955519,-0.34966085,-0.00558581700000013,1.0032074962649,1636.12113116815,2347.76040260392
r[2],-0.236865649675233,-0.2393645,0.0837722026324256,0.0807787197,-0.36738185,-0.0950412800000001,1.00211464535404,2450.59727502084,3284.43483475801
r[3],-0.2955702266375,-0.298863,0.0757178195966742,0.0646102254,-0.4110424,-0.170078,0.999228589194793,4269.00269745905,3216.77440625726
r[4],-0.344634578736,-0.346824,0.0786387021560167,0.067695516,-0.46420875,-0.21156895,1.00229118717269,2470.05397380161,2281.74742749862
r[5],-0.395786288919275,-0.4001565,0.0971219827291324,0.0921813963,-0.5455365,-0.23386825,1.00496873593052,1230.2543819496,1674.81372223162
r[6],-0.39658806915,-0.4031245,0.0980610500492584,0.0856853844,-0.5487327,-0.2272943,1.00437932726071,1692.51053587959,1878.73357211852
r[7],-0.39526446019,-0.3965725,0.116414481613206,0.1038516822,-0.57587315,-0.2090663,1.00256134039631,2611.52395880624,2309.53395719121
r[8],-0.395264325677,-0.3915255,0.159675653263388,0.133167132,-0.66000735,-0.14931415,1.00183439242801,3597.95215887352,3274.02993076405
r[9],-0.3939330386925,-0.388336,0.193642378140478,0.1621111905,-0.7147322,-0.095837565,1.00139828601154,3902.78461920725,2999.01021778253
r[10],-0.393071904665,-0.383107,0.221904169563133,0.1758244992,-0.7609229,-0.0473777000000005,1.0008101950492,3970.52352821165,3235.81318719561
r[11],-0.396136083541,-0.3840315,0.246344225163173,0.191322117,-0.8065483,-0.01517666,1.00046447227372,4164.35575262835,3405.36143882788
delta_r[1],0.146296032277475,0.1388205,0.146659633012965,0.13984876542,-0.086227845,0.39239025,1.00250512774723,2110.64689499969,2483.2044864659
delta_r[2],0.094746081658015,0.0910705,0.125437204610537,0.120997647267,-0.10451475,0.3066744,1.00179925326835,3204.56475303883,3186.8642573046
delta_r[3],0.02549080803443,0.02548855,0.11945501618176,0.11382794934,-0.1641168,0.2164246,1.00059282457893,3986.59269832481,3536.78739443441
delta_r[4],-0.039050796607925,-0.03806825,0.128764492360486,0.1179645516,-0.25049295,0.1639605,1.00116208967054,3430.75000349928,3147.13223177406
delta_r[5],-0.10118052152375,-0.0986164,0.155325949676796,0.14291834046,-0.35811595,0.145420549999999,1.00241489608869,2076.83957209027,2937.56695982616
delta_r[6],-0.10099479962475,-0.09633015,0.17858680953732,0.15845858301,-0.4071038,0.1771808,1.00292638882483,2847.50014663911,3083.50914240046
delta_r[7],-0.10034177233375,-0.0903285,0.204277583397969,0.17734231095,-0.4388647,0.20904075,1.00245513607866,3222.30697328182,2885.65358918395
delta_r[8],-0.1006220369625,-0.08670405,0.24874905044772,0.21606797121,-0.51309945,0.27857375,1.0014903534436,3749.18751790003,2726.76896805558
delta_r[9],-0.0992281097471,-0.0887193,0.288479703660318,0.24938925795,-0.5762099,0.3361061,1.00097768666597,3838.77730526535,3177.94886527622
delta_r[10],-0.0982950297165,-0.08762655,0.320448377083929,0.27577612797,-0.628207,0.4047708,1.00106735189855,3869.3936008718,3189.93554337078
delta_r[11],-0.098744776654025,-0.0910511,0.348015354987068,0.2882678484,-0.67305915,0.4446737,1.00039601358134,4049.47886645709,3306.25364704328
mean_ndelta_cases[1],150017.52685,148448,25429.2220555053,20052.9063,110506.95,192578.45,1.00523132382109,2177.07700377707,1555.11608439974
mean_ndelta_cases[2],123736.14745,124649.5,16644.9659379664,12372.297,94657.53,149174.75,1.00389093582119,2385.10966806735,1451.42538310581
mean_ndelta_cases[3],97637.41205,98534.15,13142.2050588996,11054.78451,75031.235,117443.6,1.00318425517397,1913.02530361217,1732.84933531038
mean_ndelta_cases[4],72633.84975,73141.85,9704.6542590541,8196.40584,56855.23,87901.6,1.00334841216833,2113.3299593065,2041.63916452992
mean_ndelta_cases[5],51454.6975,51360.55,7069.89519292249,5497.03602,40969.26,62460.435,1.00552860322904,3142.32980159665,2444.78437899233
mean_ndelta_cases[6],34749.27015,33906.8,6172.23620257351,3610.94643,27906.96,43993.065,1.00426442980816,4045.24677723042,2371.23303638059
mean_ndelta_cases[7],23578.2975,22433.2,6073.6366424083,2705.59674,18333.005,32420.58,1.00659724616751,2436.3206292206,1977.44958669343
mean_ndelta_cases[8],16172.5554725,14922.4,6259.06477091956,2458.81797,11367.225,24730.14,1.00899074587984,2232.22178408471,1918.56986743248
mean_ndelta_cases[9],11360.226195,10096.2,6885.4119123318,2768.503458,6337.248,19767.07,1.00558677332727,2236.87824855076,1957.42406686411
mean_ndelta_cases[10],8329.859736,6814.11,8870.97640431927,2778.83718,3343.232,17022.955,1.00500036731762,2606.40776578284,2158.17153364468
mean_ndelta_cases[11],6513.37218375,4619.395,13802.884623471,2572.348065,1629.293,15009.085,1.00458382085571,3005.6748297707,2539.23662537845
mean_ndelta_cases[12],5612.0456899,3168.525,25957.7642726305,2253.537174,772.9367,13758.855,1.00271167545984,3207.20170634288,2805.75732129924
mean_delta_cases[1],1330.16976625,1296.685,356.03282235194,342.688164,815.71085,1965.38,1.00182326132591,3324.36466686311,3128.49621582293
mean_delta_cases[2],1529.33093775,1501.18,368.739955346416,338.62584,991.828,2171.981,1.00131084550926,3528.58115370138,2662.81305419012
mean_delta_cases[3],1684.17031125,1640.795,424.63060498599,371.176323,1089.911,2399.4395,1.0007122968454,3251.44942981214,2426.90449939385
mean_delta_cases[4],1735.3246335,1674.11,489.115098039678,371.005824,1111.5615,2510.3335,1.00014885205766,3237.96852213087,2264.83540394834
mean_delta_cases[5],1682.35200325,1609.23,541.141273863626,373.415049,1018.5,2558.0695,1.00068383805331,3774.05904407664,2269.29312078818
mean_delta_cases[6],1551.817348,1444.47,624.398313689481,404.319846,863.17885,2605.743,1.00252308417272,4267.69497075718,2519.52135330908
mean_delta_cases[7],1462.753649775,1303.76,781.633886095017,487.123056,641.16385,2769.172,1.00220857173788,3938.23063545515,3211.19645787778
